participant_id,session_id,role,task_id,start_time,end_time,duration_seconds,completed,critical_error,error_count,assist_needed,confidence_1_to_5,observed_issue_notes
P01,S01,Maintenance Planner,T1_engine_risk_scan,,,,,,,,,
P01,S01,Maintenance Planner,T2_engine_maintenance_next_due,,,,,,,,,
P01,S01,Maintenance Planner,T3_engine_compliance_readiness,,,,,,,,,
P01,S01,Maintenance Planner,T4_engine_anomaly_review,,,,,,,,,
P01,S01,Maintenance Planner,T5_engine_data_entry_validation,,,,,,,,,
P02,S02,Line Maintenance Engineer,T1_engine_risk_scan,,,,,,,,,
P02,S02,Line Maintenance Engineer,T2_engine_maintenance_next_due,,,,,,,,,
P02,S02,Line Maintenance Engineer,T3_engine_compliance_readiness,,,,,,,,,
P02,S02,Line Maintenance Engineer,T4_engine_anomaly_review,,,,,,,,,
P02,S02,Line Maintenance Engineer,T5_engine_data_entry_validation,,,,,,,,,
P03,S03,Reliability Engineer,T1_engine_risk_scan,,,,,,,,,
P03,S03,Reliability Engineer,T2_engine_maintenance_next_due,,,,,,,,,
P03,S03,Reliability Engineer,T3_engine_compliance_readiness,,,,,,,,,
P03,S03,Reliability Engineer,T4_engine_anomaly_review,,,,,,,,,
P03,S03,Reliability Engineer,T5_engine_data_entry_validation,,,,,,,,,
P04,S04,Compliance Officer,T1_engine_risk_scan,,,,,,,,,
P04,S04,Compliance Officer,T2_engine_maintenance_next_due,,,,,,,,,
P04,S04,Compliance Officer,T3_engine_compliance_readiness,,,,,,,,,
P04,S04,Compliance Officer,T4_engine_anomaly_review,,,,,,,,,
P04,S04,Compliance Officer,T5_engine_data_entry_validation,,,,,,,,,
P05,S05,Maintenance Planner,T1_engine_risk_scan,,,,,,,,,
P05,S05,Maintenance Planner,T2_engine_maintenance_next_due,,,,,,,,,
P05,S05,Maintenance Planner,T3_engine_compliance_readiness,,,,,,,,,
P05,S05,Maintenance Planner,T4_engine_anomaly_review,,,,,,,,,
P05,S05,Maintenance Planner,T5_engine_data_entry_validation,,,,,,,,,
