Date,W.O.No.,Reg.No.,Model,Serial No.,Created By,DOC. Status,Submitted By,W.O.Status,Closing Date,Closed By,Job Completion,Job Complied
11-May-2026,DCPL/CAMO/VT-UDY/2026-79,VT-UDY,AS 350B3,7093,Marudhayee.P,Opened,,Open,,,,False
11-May-2026,DCPL/CAMO/VT-UDY/2026-78,VT-UDY,AS 350B3,7093,Marudhayee.P,Opened,,Open,,,,False
11-May-2026,DCPL/CAMO/VT-UDY/2026-77,VT-UDY,AS 350B3,7093,Marudhayee.P,Opened,,Open,,,,False
11-May-2026,DCPL/CAMO/VT-KNH/2026-112,VT-KNH,SIKORSKY S76C,760713,Anand,Opened,,Open,,,,False
11-May-2026,DCPL/CAMO/VT-KNH/2026-111,VT-KNH,SIKORSKY S76C,760713,Anand,Opened,,Open,,,,False
11-May-2026,DCPL/CAMO/VT-KNH/2026-110,VT-KNH,SIKORSKY S76C,760713,Anand,Opened,,Open,,,,False
11-May-2026,DCPL/CAMO/VT-KNH/2026-109,VT-KNH,SIKORSKY S76C,760713,Anand,Opened,,Open,,,,False
11-May-2026,DCPL/CAMO/VT-DCV/2026-83,VT-DCV,EC 130 B4,4716,Basheer Ahamed,Opened,,Open,,,,False
08-May-2026,DCPL/CAMO/VT-TSG/2026-55,VT-TSG,HAWKER 900XP,HA-0213,Manjunadh Eshwar.p,Opened,,Open,,,,False
08-May-2026,DCPL/CAMO/VT-DCV/2026-82,VT-DCV,EC 130 B4,4716,Basheer Ahamed,Opened,,Open,,,,False
08-May-2026,DCPL/CAMO/VT-DCV/2026-81,VT-DCV,EC 130 B4,4716,Sinchan A R,Opened,,Open,,,,False
08-May-2026,DCPL/CAMO/RBG/2026-32,VT-RBG,BELL 206L4,52118,SWARNA LAKSHMI,Opened,,Open,,,,False
08-May-2026,DCPL/CAMO/RBG/2026-31,VT-RBG,BELL 206L4,52118,SWARNA LAKSHMI,Opened,,Open,,,,False
08-May-2026,DCPL/CAMO/RBG/2026-30,VT-RBG,BELL 206L4,52118,SWARNA LAKSHMI,Opened,,Open,,,,False
07-May-2026,DCPL/CAMO/VT-UDY/2026-76,VT-UDY,AS 350B3,7093,Marudhayee.P,Opened,,Open,,,,False
07-May-2026,DCPL/CAMO/VT-UDY/2026-75,VT-UDY,AS 350B3,7093,Marudhayee.P,Opened,,Open,,,,False
07-May-2026,DCPL/CAMO/VT-DCV/2026-80,VT-DCV,EC 130 B4,4716,Basheer Ahamed,Opened,,Open,,,,False
07-May-2026,DCPL/CAMO/VT-DCV/2026-79,VT-DCV,EC 130 B4,4716,Basheer Ahamed,Opened,,Open,,,,False
07-May-2026,DCPL/CAMO/VT-AGP/2026-61,VT-AGP,HAWKER 850XP,258835,Manjunadh Eshwar.p,Opened,,Open,,,,False
06-May-2026,DCPL/CAMO/VT-ACG/2026-42,VT-ACG,PC - 12/45,562,Chandana Lahiri,Opened,,Open,,,,False
05-May-2026,DCPL/CAMO/VT-KNH/2026-108,VT-KNH,SIKORSKY S76C,760713,Anand,Opened,,Open,,,,False
05-May-2026,DCPL/CAMO/VT-KNH/2026-107,VT-KNH,SIKORSKY S76C,760713,Anand,Opened,,Open,,,,False
05-May-2026,DCPL/CAMO/VT-KNH/2026-106,VT-KNH,SIKORSKY S76C,760713,Anand,Opened,,Open,,,,False
05-May-2026,DCPL/CAMO/VT-KNH/2026-105,VT-KNH,SIKORSKY S76C,760713,Anand,Opened,,Open,,,,False
05-May-2026,DCPL/CAMO/VT-KNH/2026-104,VT-KNH,SIKORSKY S76C,760713,Anand,Opened,,Open,,,,False
Date,W.O. No.,Reg.No.,Model,Serial No.,Created By,DOC. Status,Submitted By,W.O. Status,Closing Date,Closed By,Job Completion,Job Complied
05-May-2026,DCPL/CAMO/VT-CSL/2026-60,VT-CSL,BELL 429,57045,Shreenagamanikandhan,Opened,,Open,,,,False
04-May-2026,DCPL/CAMO/YAY/2026-42,VT-YAY,BELL 430,49017,SWARNA LAKSHMI,Opened,,Open,,,,False
04-May-2026,DCPL/CAMO/YAY/2026-41,VT-YAY,BELL 430,49017,SWARNA LAKSHMI,Opened,,Open,,,,False
04-May-2026,DCPL/CAMO/YAY/2026-40,VT-YAY,BELL 430,49017,SWARNA LAKSHMI,Opened,,Open,,,,False
04-May-2026,DCPL/CAMO/VT-UDY/2026-74,VT-UDY,AS 350B3,7093,Marudhayee.P,Opened,,Open,,,,False
04-May-2026,DCPL/CAMO/VT-UDY/2026-73,VT-UDY,AS 350B3,7093,Marudhayee.P,Opened,,Open,,,,False
04-May-2026,DCPL/CAMO/VT-TSG/2026-54,VT-TSG,HAWKER 900XP,HA-0213,Manjunadh Eshwar.p,Opened,,Open,,,,False
