part_no,description,part_type,location,min_stock_level,rate,unit,category,serialized_status
----,PRESSURE GAUGE(0-210KG/CM^2),Vendor Part,,0,0,Each.,Equipment,
23350AC040LE,Washer Lock,Vendor Part,,0,0,EACH,Expendable,
101-555211-3 / 101-555211-7,Compressor Assembly,Vendor Part,,0,0,EACH,Rotable,
355A11-0030-04,Main Rotor Blade,Superseed Part,,0,0,EACH,Rotable,
"​​299-947-107,TYPE-III CLASS-7",Sealant,Vendor Part,FR,2,0,EACH,Consumable,
​1076A2-1,"Filter,Kit",Vendor Part,,0,0,EACH,Expendable,
​1076A2-1​,"Filter,Kit",Vendor Part,,0,0,EACH,Expendable,
​1076A4-3,"Filter,Kit",Vendor Part,,0,0,EACH,Expendable,
​130005,PLUG TERMINAL,Vendor Part,,0,0,EACH,Expendable,
"​299-947-107,TYPE-III CLASS-7",Sealant,Alternate Part,FR,2,0,EACH,Consumable,
"""CJ93-1-1,CJ125-6 & 23055732""",Puller Set,Vendor Part,,0,0,EACH,Special Tool,
(N320C4,Nut,Vendor Part,,0,0,EACH,Expendable,
0.028IN.(0.71MM) DIA 22SWG WIRE COPPER,Copper wire,Vendor Part,,0,0,EACH,Consumable,
0.032”LOCKING WIRE,LOCKING WIRE,Vendor Part,,0,0,1 LB,Consumable,
000-1740000-54,Cover RH Wing Tip Light,Vendor Part,,0,0,EACH,Expendable,
00033096-7,Light Assembly,Vendor Part,,0,0,EACH,Expendable,
00033106-1,Gasket Assy,Vendor Part,,0,0,EACH,Expendable,
00053SST-1,"Thinner, MIL-T-81772B",Vendor Part,,0,0,USG,Consumable,
00076-10C,"Pin, Door",Vendor Part,,0,0,EACH,Expendable,
00076-10C010,"Assembly, Bushing & Plate",Vendor Part,,0,0,EACH,Expendable,
001104-203-02,Connector,Vendor Part,,0,0,EACH,Expendable,
001115-201-03,"Block, Terminal",Vendor Part,,0,0,EACH,Expendable,
00124N1,Bulb,Vendor Part,IXB9,0,0,EACH,Expendable,
0012AC10,"Probe, AOA",Vendor Part,,0,0,EACH,Expendable,
0012AC11,"Sensor, AOA LH",Vendor Part,,0,0,EACH,Repairable,
0012AC12,"Sensor, AOA RH",Vendor Part,,0,0,EACH,Repairable,
0012AC9,AOA Sensor,Vendor Part,,0,0,EACH,Expendable,
00216-11OZ,Lubricant,Alternate Part,POL,0,0,EACH,Consumable,
002-524022-3,"Spring,Rudder",Vendor Part,,0,0,EACH,Expendable,
00-30-006,Battery Pack,Vendor Part,,0,0,EACH,Expendable,
003-1130-0002,Placard,Vendor Part,,0,0,EACH,Expendable,
006-00192-0002,"Spare Kit, RMI K1299 Installation Kit",Vendor Part,AVIC3,0,22,EACH,Expendable,
00EDS-2004-02,"Cylinder, Oxygen, Kit for External Use",Vendor Part,,0,0,EACH,Equipment,
010-00330-50,Chart Unlock,Standard Part,,0,0,EACH,Expendable,
010-00330-51,Taws Unlock Card,Standard Part,,0,0,EACH,Expendable,
010-00681-13,Garmin G1000 Software Loader Card,Vendor Part,,0,0,EACH,Publications,
010-00681-16,"Card,LOADER",Vendor Part,,0,0,EACH,Expendable,
010-00681-18,Software,Vendor Part,,0,0,EACH,Publications,
010-00769-60,GDU6XX INSTALLER UNLOCK,Vendor Part,,0,0,EACH,Expendable,
010-00769-61,GDU6XX VIDEO ENABLEMENT,Vendor Part,,0,0,EACH,Expendable,
010-00836-22,"GPS Map, Aera 550 Portable",Vendor Part,,0,0,EACH,Repairable,
010-00878-04,16W COMM ENABLEMENT,Vendor Part,,0,0,EACH,Expendable,
010-00900-00,GTN 6XX/7XX SUPP DATA,Vendor Part,,0,0,EACH,Expendable,
010-10040-02,"Antenna, GPS",Vendor Part,AIII,0,0,EACH,Expendable,
010-10057-00,"Converter, Voltage, 28 to 14VDC",Vendor Part,,0,0,EACH,Expendable,
010-10201-21,Data Base,Vendor Part,A,1,0,EACH,Expendable,
010-10485-00,Mount,Vendor Part,,0,34.99,EACH,Expendable,
010-10516-00,Power Cable,Vendor Part,,0,0,EACH,Expendable,
010-10517-01,Lithium Ion Battery,Vendor Part,,0,0,EACH,Expendable,
010-10517-02,"Battery,GPS-296 GARMIN",Alternate Part,,0,0,EACH,Rotable,
010-10546-00,"Card, Data",Vendor Part,,0,0,EACH,Expendable,
010-10546-02,DATA CARD,Vendor Part,,0,0,EACH,Accessories,
010-10720-00,GA-58 Directional Antenna (QMA Connector),Vendor Part,,0,0,EACH,Expendable,
010-11206-10,Battery Pack,Vendor Part,,0,0,EACH,Component,
010-1206-10,Battery Pack,Vendor Part,,0,0,Each-12OZ,Expendable,
010-1302,"Lacquer, sealing raw edges of Bakelite and fiberglass 010-1302",Vendor Part,,0,0,EACH,Consumable,
