store,station,valued_store,owned_by_customer,customer,not_in_use,not_in_use_date
"Agrarflug Helilift Gmbh & Co, KG- Jakkur",Surat,,,Agrarflug Helilift GmbH & Co. KG,,06-Apr-2026
AK Aviation Stores- Mumbai,Mumbai,,,A.K.Avaition Pvt Ltd,,
AUDIT26 NF,Chennai,,,,,
AUDIT26 NF,Delhi,,,,,
AUDIT26 NF,Mumbai,,,,,
AUDIT26 NF,Bangalore,,,,,
Aviators (India) Pvt Ltd Stores-Bhubaneswar,Bhubaneshwar,,,AVIATORS (INDIA) PVT. LTD.,,
Avionics Shop,Jakkur,,,,,
Bellary Iron Ores-Stores,Bangalore,,,Bellary Iron Ores,,
Bhushan Steel Store- Delhi,Delhi,,,VT-BSL (Bhushan Steel),,
Store,Station,Valued Store,Owned By Customer?,Customer,Not In Use,Not In Use Date
Bonded VPA,Delhi,,,,,
Bonded Bose Commercial,Bangalore,,,,,
Bonded Bose Spare,Delhi,,,,,
Bonded Chennai,Chennai,,,,,
Bonded J&K Store,Jakkur,,,,,
Bonded -KHA,Mumbai,,,,,
Bonded Nagpur,Mumbai,,,,,
BONDED RAIGARH,Raigarh,,,India Flysafe Aviation Ltd,,
Bonded Store BLR Audit 2023-24,Bangalore,,,,,
Bonded UYK,Mumbai,,,,,
Bonded UYK,Jakkur,,,,,
Bonded VPA,Bangalore,,,,,
Bonded-Ahmedabad,Ahmedabad,,,,,
Bonded-Air-Asia,Bangalore,,,AIRASIA (INDIA) PVT LTD,,
Bonded-Air-Pegasus,Bangalore,,,Air Pegasus,,13-Apr-2026
Bonded-Amarnath,Amarnath,,,,,
Bonded-Bell CSF-Jakkur,Jakkur,,,,,13-Apr-2026
Bonded-Bhubaneshwar,Bhubaneshwar,,,,,13-Apr-2026
Bonded-Delhi,Delhi,,,,,
Bonded-DTS-Bhubaneshwar,Bhubaneshwar,,,,,
Bonded-DTS-Delhi,Delhi,,,,,
Bonded-DTS-Jakkur,Bangalore,,,,,
Bonded-DTS-Katra,Katra,,,,,
Bonded-DTS-Mumbai,Mumbai,,,,,
Bonded-Hyderabad,Hyderabad,,,,,
Bonded-IIC-Delhi,Delhi,,,IIC Technologies ltd,,
Bonded-IIC-Jakkur,Bangalore,,,IIC Technologies ltd,,
Bonded-J&K-Store,Bangalore,,,Jammu & Kashmir Government,,
Bonded-Jakkur,Jakkur,,,,,
Bonded-Kakini-Enterprises,Bangalore,,,Kakini Enterprises,,13-Apr-2026
Bonded-Katra,Katra,,,,,
Bonded-Kolkata,Kolkata,,,,,
Bonded-Mumbai,Mumbai,,,,,
Bonded-RCS-Ahemadabad,Ahmedabad,,,Deccan Charters Private Ltd,,
Bonded-RCS-Delhi,Delhi,,,Deccan Charters Private Ltd,,
Bonded-RCS-Jakkur,Bangalore,,,Deccan Charters Private Limited,,
Bonded-RCS-Mumbai,Mumbai,,,Deccan Charters Private Ltd,,
Bonded-RCS-Nashik,Nashik,,,Deccan Charters Private Ltd,,
Bonded-Sanmar-Delhi,Delhi,,,Sanmar Shipping Limited,,
Bonded-Sanmar-Jakkur,Bangalore,,,Sanmar Shipping Limited,,
Bonded-Srilanka,Srilanka,,,,,
Bonded-Thriveni,Bangalore,,,Thriveni Earthmovers Private Limited,,
Bonded-UDY-Jakkur,Bangalore,,,D Y Uppar Company,,
Bonded-WABS-Jakkur,Jakkur,,,,,
Calibration Tool Store Jakkur,Bangalore,,,,,
Commercial-Bangalore,Bangalore,,,,,
Commercial-Bhubaneshwar,Bhubaneshwar,,,,,
Commercial-Delhi,Delhi,,,,,
Commercial-Hyderabad,Hyderabad,,,,,
Commercial-Katra,Katra,,,,,
Commercial-Mumbai,Mumbai,,,,,
Deccan - Chennai,Deccan Charters Pvt. Ltd,,,VT-CSL(Chemplast Sanmar Ltd),,
Deccan 360 Store- Bangalore,Deccan 360- Bangalore,,,Deccan Cargo & Express Logistics Pvt Ltd,,
Deccan 360 Store- Delhi,Deccan 360- Delhi,,,Deccan Cargo & Express Logistics Pvt Ltd,,
Deccan 360 Store- Kolkata,Deccan 360- Kolkata,,,Deccan Cargo & Express Logistics Pvt Ltd,,
Deccan Jets- Bangalore,Deccan Jet- Bangalore,,,Business Jets India Pvt Ltd,,
Deccan Jets- Bhubaneswar,Deccan Jet- Bhubaneswar,,,Business Jets India Pvt Ltd,,
Deccan Jets- Delhi,Deccan Jets- Delhi,,,Business Jets India Pvt Ltd,,
Deccan Jets- Kolkata,Deccan Jet- Kolkata,,,Business Jets India Pvt Ltd,,
Deccan Jets- Mumbai,Deccan Jets- Mumbai,,,Business Jets India Pvt Ltd,,
Engine Shop,Jakkur,,,,,
Eon Aviation Pvt Ltd Store- Mumbai,Mumbai,,,Eon Aviation Pvt Ltd,,
Essar Investment Ltd Store- Bangalore,Bangalore,,,Essar Investments Ltd,,
Essar Investment Ltd Store- Mumbai,Mumbai,,,Essar Investments Ltd,,
Essar Steel Ltd Stores- Bhubaneswar,Bhubaneshwar,,,Essar Steel Ltd,,
Excess Found During Audit Jan 2014,Bangalore,,,,,
Fast Helicharters- Mumbai,Mumbai,,,Fast Helicharters Ltd,,
FFT-Jakkur,Bangalore,,,,,
Futura Travels Limited Stores- Mumbai,Mumbai,,,Essar- Futura Travels Ltd,,
GMR-Aviation-Store,Bangalore,,,GMR Aviation Private Limited,,
GSI-STORES,Bangalore,,,GEOLOGICAL SURVEY OF INDIA,,
Haryana Government Store- Delhi,Delhi,,,VT-HRY (Govt of Haryana),,
Heritage Aviation Pvt. Ltd.,Delhi,,,Heritage Aviation Private Limited,,
Hiranandani Aviation Stores- Mumbai,Mumbai,,,Hiranandani Aviation Pvt. Ltd.,,
IFSAL Store-Delhi,Delhi,,,India Flysafe Aviation Ltd,,
Indrani Patnaik Stores- Bhubaneswar,Bhubaneshwar,,,Indrani Patnaik,,
Jupiter Capital Stores,Bangalore,,,JUPITER CAPITAL PVT. LTD.,,
Malhotra Helikopters-Mumbai,Mumbai,,,Malhotra Helikopters Pvt Ltd,,
Mega Air Limited Store- Delhi,Delhi,,,Mega Air Limited,,
MRO Stores - Bangalore,Bangalore,,,,,13-Apr-2026
Prem,Delhi,,,Prem Air,,
Prem Air,Delhi,,,Prem Air,,
Prem Air Stores,Bangalore,,,Prem Air,,
Quarantine-Bhubaneshwar,Bhubaneshwar,,,,,
Quarantine-Delhi,Delhi,,,,,
Quarantine-Hyderabad,Hyderabad,,,,,
Quarantine-Jakkur,Jakkur,,,,,
Quarantine-Katra,Katra,,,,,
Quarantine-Mumbai,Mumbai,,,,,
Reliance Commercial Dealer Ltd Stores- Mumbai,Mumbai,,,Reliance Commercial Dealers Limited,,
