tenant_id,franchise_id,code,description,parent_id,level,chapter_code,parent_code_ref,is_active
e42ec6fd-6b88-4721-befe-4443d9743120,,1,Seats,null,1,1,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,4,Airworthiness Limitations,null,1,4,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,5,Routine Inspection,null,1,5,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,6,Dimensions & Areas,null,1,6,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,7,Lifting & Shoring,null,1,7,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,8,Leveling and Weighing,null,1,8,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,9,Towing & Taxiing,null,1,9,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,10,"Parking, Mooring, Storage & Return To Service",null,1,10,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,11,Required Placards,null,1,11,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,12,Servicing Routine Maintenance,null,1,12,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,18,Vibration & Noise Analysis (Helicopter Only),null,1,18,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,20,Standard Practices - Airframe,null,1,20,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,21,Air Conditioning,null,1,21,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,22,Auto Flight,null,1,22,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,23,Communications,null,1,23,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,24,Electric Power,null,1,24,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,25,Equipment / Furnishing,null,1,25,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,26,Fire Protection,null,1,26,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,27,Flight Controls,null,1,27,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,28,Fuel,null,1,28,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,29,Hydraulic Power,null,1,29,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,30,Ice and Rain Protection,null,1,30,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,31,Instruments,null,1,31,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,32,Landing Gear,null,1,32,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,33,Lights,null,1,33,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,34,Navigation Pitot /Static,null,1,34,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,35,Oxygen,null,1,35,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,36,Pneumatic,null,1,36,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,37,Vacuum,null,1,37,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,38,Water / Waste,null,1,38,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,39,Electronical/Electrical Panels,null,1,39,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,41,Water Ballast,null,1,41,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,42,Integrated Modular Avionics,null,1,42,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,43,Oil,null,1,43,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,44,Cabin Systems,null,1,44,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,45,Central Maintenance System (CMS),null,1,45,null,TRUE
e42ec6fd-6b88-4721-befe-4443d9743120,,46,Information Systems,null,1,46,null,TRUE
