tenant_id,franchise_id ,,code_form_no,ata_code,reference_amp,description,category_code,estimated_man_hours,revision_status,interval_hours,interval_cycles,interval_months,calendar_unit (Enum) 
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Every 24 Months Transponder System,CH*,0,Functional Test,,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Monthly VOR Check,CH*,0,,,,1 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Transponder-Functional Test,CH*,0,,,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Every 3 Months Terrain Database Inspection,CH*,0,,,,3 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Every 24 Months Standby Magnetic Compass Inspection,CH*,0,Check Swing,,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,12-A-34-21-00-00A-903A-A,Every 2 Years standby Magnetic Compass Inspection,CH*,0,,,,2 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Aeromobile Licence,CH*,0,,,,5 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,DCPL Technical Circular 8 of 2009,Fuel MBT,CH*,0,,,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Aircraft Weighing,CH*,0,,,,5 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Monthly VOR Check,CH*,0,,,,1 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 24 Months Pitot & Static system Inspection,CH*,0,Leak Test,,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Every 24 Months Attitude heading reference system (AHRS) Inspection,CH*,0,Check Swing,,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,"CAR Section-2, Series-X, Part -III",First aid Kit re-certification,CH*,0,,,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 24 Months Altimeter check,CH*,0,caliberate,,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Insurance,CH*,0,,,,1 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 12 Months Internal Corrosion Inspection,CP*,0,,,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 3 Months External Corrosion Inspection,CP*,0,,,,3 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 4000 Hours / 48 Months Passenger/crew door/cargo door Inspection,CP*,0,,4000:00 H,,48 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 24 Months Examine the corrosion protective layer of Battery 1 & 2 ground points Inspection,CP*,0,,,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Flap Flexible drive shaft,LS*,0,"Remove clean, inspect & lubricate inner core",2000:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,61,,Every 400 Hours / 6 Months Propeller Lubrication Inspection,LS*,0,,400:00 H,,6 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,12,,Flap Actuator Lubrication,LS*,0,,150:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,SL139,24,Service Letter 139,"Electrical Wiring Schematic Diagram Correction Service Letter 139, dt:14-06-2009",OP1,0,,100:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Nose Landing Gear (Ref CMM 02-100) Overhauk Kit P/N 500.60.12.029,OP1,0,overhaul,25000:00 H,30000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Flap Actuator - Black Color,OP*,0,Lubricate,150:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,"In-situ Inspection/Check (Refer AMM 12-A-27-51-00-00A- 313A-A) DGCA/Pilatus PC-12/52 Rev 2, EASA AD2014-0170",Inboard Flap drive arms,OP*,0,,600:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Elevator - Control System - AMM 12-A-27-30-00-00A-310A-A Inspection kit elevator control P/N 500.60.12.019,OP*,0,"SUPPLEMENTAL STRUCTURAL INSPECTION PROGRAM(Examine) & Repeat at 12,500 H/15,000 L/6 Yrs.",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,71,,Engine torque and stick pusher torque transducers electrical connectors,OP*,0,Clean,500:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Passenger oxygen masks,OP*,0,Inspection & Check,,,3 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,,"Flight control cables,aileron",OP*,0,Replace,20000:00 H,27000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,73,,AGB internal scavenge oil pump inlet screen inspection,OP*,0,"Replace Oil filter element (for PRE SBs 14267, 14320 and 79-003)",1000:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,,Stick pusher cable,OP*,0,DMC-12-A-04-00-00-00A-000A-A Structural.component and Miscellaneous .Replace,20000:00 H,27000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,Backlash check (Ref. 12-A-27-50-03-00A-313B-A),Flap actuators (black anodized),OP*,0,,2400:00 H,3200 L,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,,"Autopilot control cables,aileron",OP*,0,Replace,20000:00 H,27000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Duct Over temperature Switch,OP*,0,Remove & Test,,,5 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,32,Inspection/Check (Ref.12-A-32-10-00-00A-313A-A),Main landing gear hinge pin and bushes,OP*,0,,2400:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,Backlash check (Ref. 12-A-27-50-03-00A-313A-A),Flap actuators (white colored),OP*,0,,600:00 H,800 L,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Power plant Torque limiter test,OP*,0,Performance Test,500:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,61,,Propeller -lubrication,OP*,0,,400:00 H,,6 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,,"autopilot control cables,rudder",OP*,0,Replace,20000:00 H,27000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,61,,Propeller -lubrication,OP*,0,,400:00 H,,6 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,24,Inspection/check (Ref.12-A-24-30-04-00A-313AA),Generator 2 drive assembly housing (Post SB 24-010),OP*,0,,1800:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Altimeter,OP*,0,Calibrate,,,2 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,Inspection/check (Ref. 12-A-27- 00-00-00A-313A-A),Flight control cables including auto pilot and stick pusher cables,OP*,0,,4800:00 H,,5 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,Servicing (AMM 12-A-12-20-07-00A- 902A-A),Flap up and down limit switches,OP*,0,,200:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,500 Hours OOP Inspection,OP*,0,Brushes may be replaced if wear rate is not expected to match time till next inspection.,500:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,,"Flight control cables,elevator",OP*,0,Replace,20000:00 H,27000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Static system,OP*,0,Leak Check,,,2 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Flaps (LH & RH),OP*,0,,25000:00 H,30000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,72,,Sunstrand fuel pump check,OP*,0,,1800:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,28,Operational test (Ref.12-A-28-10-01-00A-903AA),Fuel cross vent and outward check valve,OP*,0,,2400:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Oil pressure transducer electrical connector,OP*,0,Clean,500:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,21,,Vapor Cycle compressor motor drive belt,OP*,0,Check for Tension,500:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,21,,Vapor Cycle compressor motor,OP*,0,Inspection/Check,500:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Aerofoil Deicers,OP*,0,Apply a surface coat of Age master no.1,,,6 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Pressurisation outflow valve and safety valve,OP*,0,Remove & Clean,3000:00 H,,2 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,28,Operational test MSN 101-105 (Ref.12-A-28-40-00-00A-903A-A) MSN 106-999 (12-A-28-40-00-00A-903B-A),Fuel low level warning system,OP*,0,,1200:00 H,,4 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,,"Flight control cables,rudder",OP*,0,Replace,20000:00 H,27000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,200 hours/ 6 month OOP Inspection,OP*,0,,200:00 H,,6 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Generator 2 brushes,OP*,0,Examin for wear,400:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Pitot Static System,OP*,0,Leak check single system,,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,21,,Compressor condenser module assly inspection,OP*,0,,500:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,1000 Hours OOP Inspection,OP*,0,,1000:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,,"Autopilots controls cables,elevator",OP*,0,Replace,20000:00 H,27000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Ni-CD Battery,OP*,0,,400:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,,Flap tension rods,OP*,0,Replace,20000:00 H,27000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,NLG-Right hand upper drag link(300hrs/400ldg),OP*,0,Inspection/Check,300:00 H,400 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,24,Inspection/check (Ref.12-A-24-30-04-00A-313AA),Generator 2 drive assembly housing (Pre SB 24-010),OP*,0,,1200:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,21,,Evaporator module assembly inspection,OP*,0,,,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Pressurisation outflow valve and safety valve,OP*,0,Remove & Clean,3000:00 H,,2 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Indicating/recording clock battery,ROU1,0,,,,2 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,"Pitch trim actuator attachment part,fail safe plates and their attachment parts",ROU1,0,Replace,10000:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,57,,Wing structure (SSID),ROU1,0,,50000:00 H,60000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Flap linear actuator,ROU1,0,978.73.20.307/308/309,5000:00 H,7000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Antenna Structure - AMM 12-A-53-00-00-00A-310A-A,ROU*,0,"SUPPLEMENTAL STRUCTURAL INSPECTION PROGRAM (Examine) & Repeat at 12,500 H/15,000 L/6 Yrs.",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,24,,EPS Battery,ROU*,0,Remove and do a capacity check,,,1 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Frames 21 and 24 Wing Attachments AMM 12-A-53-20-02-00A-353A-A,ROU*,0,"SUPPLEMENTAL STRUCTURAL INSPECTION PROGRAM (Eddy Current Inspection) & Repeat at 10,000 H/12,000 L",30000:00 H,39000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Carnet Card Renewal,ROU*,0,,,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,"Fuselage internal bottom surfaces, structure around windows, door frames and emergency exit frame",ROU*,0,"Examine frames 10,21,24,36 & frames adjacent to doors & to emergency exit,with insulation removed.If corrosion is found,examine all fuselage bottom surfacewith insulation removed.If insulation is wet,remove,dry & reinstall insulation.",2000:00 H,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,NLG Drag link right part,ROU*,0,,,4000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,24,,Battery CT(1 Year),ROU*,0,,100:00 H,,1 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,53,,Rear Pressure Bulkhead(6000hrs/6yrs),ROU*,0,,6000:00 H,,6 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,53,,Front Pressure Bulkhead(6000hrs/6yrs),ROU*,0,,6000:00 H,,6 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 300 Hours Vapor Cycle compressor condenser module (including motor) Inspection,ROU*,0,,300:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Cargo door lower lug fittings,ROU*,0,Replace,13000:00 H,17000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,C of A,ROU*,0,,,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Fuel pump coupling shaft,ROU*,0,Inspect for fretting corrosion,600:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,"AMM 12-A-05-40-01-03A-000B-A EMM Ch 72-00-00, Table 601",Every 600 Hours Inspection,ROU*,0,,600:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Vertical stabilizer intrnal surfaces,ROU*,0,Examine as far as possible with panels remove,6000:00 H,,6 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Rear Pressure bulkhead,ROU*,0,,4000:00 H,,4 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 6 Years Main landing gear leg forward attachment bolt and bush and rear attachment bolt and nut Inspection,ROU*,0,,,,6 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Passenger/Crew Door Piano Hinge (AMM 12-A-52-00-01-00-A-353A-A),ROU*,0,"Supplemental Structural Inspection Program (Eddy Current Inspection) & Repeat at 12,500 H/15,000 L",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,NLG steering Mechanism (AMM 12-A-32-50-00-00-A-310A-A),ROU*,0,"Supplemental Structural Inspection Program (Examine) & Repeat at 8,300 H/10,000 L/6 Yrs.",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,25,,Passenger and Crew Seat Belt,ROU*,0,,,,12 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Vapor Cycle compressor motor drive belt,ROU*,0,Check for Tension,800:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Fuel pump inlet screen,ROU*,0,"Rev No:0, Form no. PC12/04/2010(Clean)",600:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,32,,NLG-Right Hand Upper Drag Link,ROU*,0,,2000:00 H,2500 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Stablizer trim actuator,ROU*,0,,20000:00 H,27000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 36 Months Passenger oxygen masks Inspection,ROU*,0,,,,36 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 12 Years Stretcher safety belt Inspection,ROU*,0,,,,12 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Vertical Stabilizer - AMM 12-A-55-30-00-00A-310A-A,ROU*,0,"Supplemental Structural Inspection Program (Examine) & Repeat at 12,500 H/15,000 L/6 Yrs.",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,P3 Filter cleaning,ROU*,0,Clean,200:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 1800 Hours Generator 2 drive assembly housing Inspection,ROU*,0,,1800:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,100HRS INSPECTION,ROU*,0,"Rev No:0, Form no. PC12/01/2010",100:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Upper Longerons Frame 10 -AMM 12-A-53-10-06-01A-353A-A Inspection kit longeron frame 10 P/N 500.60.12.032,ROU*,0,"SUPPLEMENTAL STRUCTURAL INSPECTION PROGRAM(Eddy Current Inspection) & Repeat at 12,500 H/15,000 L",25000:00 H,30000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Fuel low level warning system,ROU*,0,Operational test,1000:00 H,,4 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Secondary heater thermal protection switches,ROU*,0,Test,500:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Nose Landing Gear (Ref CMM 02-100),ROU*,0,"Supplemental Structural Inspection Program (Overhaul) & Repeat at 8,300 H/10,000 L/6 Yrs.",25000:00 H,30000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Aileron Control System - AMM 12-A-27-10-00-00A-310A-A Inspection kit cockpit P/N 500.50.12.314 Inspection kit floor MSN 101-683 P/N 500.50.12.315 Inspection kit wing MSN 101-683 P/N 500.50.12.316 Inspection kit floor (MSN 684-999) P/N 500.60.12.015(MSN 684 - 999) Inspection kit wing(MSN 684-999) P/N 500.60.12.016.,ROU*,0,"Supplemental Structural Inspection Program (Examine) & Repeat at 12,500 H/15,000 L/6 Yrs.",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Frames 21 and 24 Side Frame Attachments AMM 12-A-53-20-02-00A-353A-A Inspection kit carry through frames P/N 500.50.12.327,ROU*,0,"SUPPLEMENTAL STRUCTURAL INSPECTION PROGRAM (Eddy Current Inspection) & Repeat at 10,000 H/12,000 L",30000:00 H,39000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,First Aid Kit,ROU*,0,,,,6 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Emergency door - AMM 12-A-52-20-00-00A-310A-A,ROU*,0,"SUPPLEMENTAL STRUCTURAL INSPECTION PROGRAM (Examine all structural elements) & Repeat at 12,500 H/15,000 L/6 Yrs.",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Flap actuator(Black anodized),ROU*,0,Backlash check,1000:00 H,1300 L,1 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,21,,Vapor Cycle compressor motor drive belt,ROU*,0,,800:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Wing - Rib 1 to Rib 20 AMM 12-A-57-00-00-00A-310A-A,ROU*,0,"Supplemental Structural Inspection Program (Examine all structural elements) & Repeat at 10,000 H/12,000 L/6 Yrs.",30000:00 H,39000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Landing gear compartments,ROU*,0,,4000:00 H,,4 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Cargo Door Skin (AMM 12-A-52-10-01-00-A-353A-A),ROU*,0,"Supplemental Structural Inspection Program (Eddy Current Inspection) & Repeat at 12,500 H/15,000 L/6 Yrs.",25000:00 H,30000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 3000 Hours / 1 Year Horizontal stabilizer trim runaway Aural warning system Inspection,ROU*,0,,3000:00 H,,1 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,53,,Cockpit Side windows inspection,ROU*,0,Inspection/Check,11000:00 H,,10 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Aileron Control Rods - AMM 12-A-27-00-01-00A-353A-A,ROU*,0,"Supplemental Structural Inspection Program (Eddy Current Inspection) Repeat at 12,500 H/15,000 L",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Ignition spark ignitors,ROU*,0,Examine,200:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Ni-Cad Battery,ROU*,0,Battery CT,100:00 H,,3 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 60 Months Cabin altitude switch Inspection,ROU*,0,,,,60 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Misc mod 35,ROU*,0,,,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Rudder - AMM 12-A-55-40-00-00A-310A-A,ROU*,0,"Supplemental Structural Inspection Program (Examine) & Repeat at 12,500 H/15,000 L/6 Yrs.",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Wing Main and Rear Spar to Fuselage Attachment - AMM 12-A-57-00-03-00A-353A-A and AMM 12-A-57-00-03-01A-353A-A Inspection kit P/N 500.60.12.004 wing attachment Inspection kit P/N 500.60.12.007 double bush,ROU*,0,"Supplemental Structural Inspection Program (Eddy Current Inspection) & Repeat at 10,000 H/12,000 L",30000:00 H,39000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Reduction gearbox chip detector and accessory gearbox chip detector of post SB 79-005,ROU*,0,Inspect,600:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Misc Mod 35 (mode S&C transponder),ROU*,0,Functional Check,,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Passenger/Crew door,ROU*,0,,4000:00 H,,4 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Wing Skin around drain holes (AMM 12-A-57-20-01-00-A-353A-A),ROU*,0,"Supplemental Structural Inspection Program (Eddy Current Inspection) & Rpeat at 2,500 H/3,000 L",25000:00 H,30000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Landing gear compartments,ROU*,0,"Examine,especially main and rear spar parts",6000:00 H,,6 Yr,
