EnquiryID,EnquiryDate,EnquiryNo,CompanyName,ShipmentMoveDate,PortOfOrigin,PortOfDischarge,NoOfContainer,EnquiryType,ReceivedBy,Remarks,Description,Class,UNNo,PackingType,HazRemarks,IsHaz,CreatedBy,CreatedOn,ModifiedOn,IsDeleted,Hazweight,HazVolume,OriginCountry,DestinationCountry,OrignState,DestinationState,OriginCity,DestinationCity,Department,IsDraft,OrgnRailRampId,DestnTerminalId,PickupType,PickupRemark,CustomerInqNo,DelRemarks,UpdatedBy,BillTo,BillToCompanyId,LicenseType,isapproved_enq,sourceofcontact,SitName,DestinationDoor,OriginDoor,GalRepID
121,2018-09-14 00:00:00.000,INQ107045,Junk Trucks  Wanted LLC1111,2018-09-14 00:00:00.000,Savannah,Port Said,1,By Email,NULL,NA,NULL,NULL,NULL,NULL,,0,NULL,2018-09-14 14:20:11.980,NULL,1,NULL,NULL,USA,Egypt,NULL,Florida,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,NA,NULL,1,6517,1,NULL,NULL,MUMBAI (MUM),NULL,NULL,177
426,2021-04-27 00:00:00.000,INQ1010879,International Shipping Link INC,NULL,PORT OF RICHMOND,Riyadh Saudi,1,By Email,NULL,TEST INQ,NULL,NULL,NULL,NULL,NULL,0,NULL,2021-04-27 12:32:44.967,2024-07-18 00:24:16.747,0,NULL,NULL,USA,Saudi Arabia,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,,Sales & Marketing,NULL,NULL,NULL
430,2021-05-05 00:00:00.000,INQ1010919,FCP Worldwide Logistics (Pvt.) Ltd,NULL,PORTSMOUTH OF NORTH HAMPSHIRE,KARACHI,1,By Email,NULL,ENQUIRY OF 5TH MAY  2021,NULL,NULL,NULL,NULL,NULL,0,NULL,2021-05-05 12:00:21.587,2024-07-18 00:23:45.813,0,NULL,NULL,USA,Pakistan,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,,Sales & Marketing,NULL,NULL,NULL
434,2021-06-04 00:00:00.000,INQ1011096,FCP Worldwide Logistics (Pvt.) Ltd,NULL,NEW YORK HARBOR,KARACHI,1,By Email,NULL,ONE OUT OF TWO QUERIES. ADDED 40'FT ALSO,NULL,NULL,NULL,NULL,NULL,0,NULL,2021-06-04 14:05:01.430,2021-06-04 14:11:07.253,1,NULL,NULL,USA,Pakistan,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,wrong query,NULL,NULL,NULL,1,NULL,NULL,New Jersey (EWR),NULL,NULL,NULL
442,2021-07-07 00:00:00.000,INQ1011277,M.G. Logistics,NULL,Minneapolis,KARACHI,1,By Email,NULL,HAS TO SEND THE QUTATION,NULL,NULL,NULL,NULL,NULL,0,NULL,2021-07-07 13:51:58.360,2024-07-17 03:38:28.660,0,NULL,NULL,USA,Pakistan,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,,Sales & Marketing,NULL,NULL,NULL
443,2021-07-08 00:00:00.000,INQ1011285,Global Logistic Solutions Pakistan,NULL,Norfolk,KARACHI,1,By Email,NULL,QUOTATION HAS TO BE SEND,NULL,NULL,NULL,NULL,NULL,0,NULL,2021-07-08 10:04:46.033,2024-07-17 03:38:16.337,0,NULL,NULL,USA,Pakistan,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,,Sales & Marketing,NULL,NULL,NULL
446,2021-07-22 00:00:00.000,INQ1011347,CJI LOGISTIC CHINA,NULL,Los Angeles,Lian Hua Shan,1,By Email,NULL,INQUIRY CREATED,NULL,NULL,NULL,NULL,NULL,0,NULL,2021-07-22 13:41:05.583,2024-07-17 03:36:31.820,0,NULL,NULL,USA,China,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,,Sales & Marketing,NULL,NULL,NULL
451,2021-08-20 00:00:00.000,INQ1011538,SAP Global Logistics,NULL,None,None,1,By Email,NULL,TRIAL 1  HAS TO BE  COMPLETED,NULL,NULL,NULL,NULL,NULL,0,NULL,2021-08-20 13:05:09.480,2021-08-20 13:10:35.447,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,gk' s client,NULL,NULL,NULL,1,NULL,NULL,Inside Sales Group,NULL,NULL,NULL
455,2021-08-30 00:00:00.000,INQ1011574,WEPORT,2021-09-01 00:00:00.000,DENVER,San Jose ,1,By Email,NULL,ARJUN ASKED JUST TO CREATE INQUIRY,NULL,NULL,NULL,NULL,NULL,0,NULL,2021-08-30 10:37:14.650,NULL,1,NULL,NULL,USA,Guatemala,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,duplicate,NULL,NULL,NULL,1,NULL,NULL,Inside Sales Group,NULL,NULL,NULL
456,2021-08-30 00:00:00.000,INQ1011575,Vertex Express Freight Forwarder1111,2021-09-01 00:00:00.000,Long Beach,Port Said,NULL,By Email,NULL,ARJUN ASKED TO MAKE JUST INQUIRY,NULL,NULL,NULL,NULL,NULL,0,NULL,2021-08-30 10:49:28.653,NULL,1,NULL,NULL,USA,Egypt,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,duplicate,NULL,NULL,NULL,1,NULL,NULL,Inside Sales Group,NULL,NULL,NULL
463,2022-03-26 00:00:00.000,INQ1012675,FLASH EXPRESS LOGISTICS,2022-04-02 00:00:00.000,NEW YORK,JAKARTA,2,By Email,NULL,Cargo details awaited refer mail dated 25 th March from HH to customer,NULL,NULL,NULL,NULL,NULL,0,NULL,2022-03-26 06:25:37.100,NULL,1,NULL,NULL,USA,Indonesia,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,customer never came back with a reply,NULL,1,15393,1,NULL,NULL,Inside Sales Group,NULL,NULL,NULL
464,2022-04-12 00:00:00.000,INQ1012724,"SHANGHAI OJI INTERNATIONAL TRANSPORTATION CO.,LTD",2022-04-19 00:00:00.000,Norfolk,changsha,1,By Email,NULL,WAITING FOR ACTUAL DIMS & WEIGHT FROM THE CUSTOMER,NULL,NULL,NULL,NULL,NULL,0,NULL,2022-04-12 01:48:49.310,NULL,1,NULL,NULL,USA,China,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,Customer never reply,NULL,1,15477,1,NULL,NULL,Inside Sales Group,NULL,NULL,NULL
466,2022-05-23 00:00:00.000,INQ1012880,ARIKAS LOGISTICS,2022-05-30 00:00:00.000,Minneapolis,Mumbai,1,By Email,NULL,INSUFFICIENT INFO BY THE AGENT.,NULL,NULL,NULL,NULL,,0,NULL,2022-05-23 08:08:44.230,NULL,1,NULL,NULL,USA,India,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,Inactive,NULL,1,12990,1,NULL,NULL,Inside Sales Group,NULL,NULL,NULL
469,2022-06-01 00:00:00.000,INQ20108,VAT FORWARDING JSC.,2022-06-08 00:00:00.000,HO CHI MINH CITY,Atlanta,1,By Email,NULL,Waiting for customer feedback,NULL,NULL,NULL,NULL,NULL,0,NULL,2022-05-31 18:34:39.650,NULL,1,NULL,NULL,Vietnam,USA,NULL,NULL,NULL,NULL,Ocean Import,1,NULL,NULL,0,NULL,NULL,Duplicate,NULL,1,15606,1,NULL,NULL,Inside Sales Group,NULL,NULL,NULL
480,2022-09-09 00:00:00.000,INQ1013532,KRYSTAL LOGISTICS,2022-09-19 00:00:00.000,Los Angeles,SHANGHAI,2,By Email,NULL,QUOTATION TO BE CREATED BY WEAAM,NULL,NULL,NULL,NULL,NULL,0,NULL,2022-09-09 10:19:44.597,NULL,1,NULL,NULL,USA,China,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,COMPANY  DETAILS WRONG,NULL,1,16104,1,NULL,NULL,Inside Sales Group,NULL,NULL,NULL
493,2023-02-16 00:00:00.000,INQ1014405,ATLAS LOGISTICS INTERNATIONAL,NULL,None,None,NULL,By Email,NULL,Tis is for marketing,NULL,NULL,NULL,NULL,NULL,0,NULL,2023-02-16 03:02:46.933,2023-02-16 03:15:14.970,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,This was a test record captured by Chaks and hence deleted by him,NULL,NULL,NULL,1,NULL,NULL,CAM,NULL,NULL,240
509,2023-10-06 00:00:00.000,INQ1016279,STANDPRO INC,1900-01-01 00:00:00.000,"Laredo, TX",hong kong,1,By Email,NULL,"EXW- Major Texas Printing Company,  1500 W, Mockingbird Lane, Dallas, TX 75235",NULL,NULL,NULL,NULL,NULL,0,NULL,2023-10-06 11:55:09.450,2023-10-06 11:58:08.763,0,NULL,NULL,USA,China,NULL,NULL,NULL,NULL,Ocean Export,1,NULL,NULL,0,NULL,NULL,NULL,NULL,1,15062,1,NULL,NULL,CAM,NULL,NULL,NULL
