EnquiryID,EnquiryNo,CompanyName,NextActionDate,Remarks,Type,CurrentDate,,
156,INQ109690,Amyn Motors Inc.,2020-11-19 00:00:00.000,Follow up with the customer,EnquiryDraft,2020-11-10 17:44:09.850,,
157,INQ109697,P.M. Traders,2020-11-17 00:00:00.000,Spoke to the customer today. He requested to get back to him after 5 days.,EnquiryDraft,2020-11-12 12:47:45.320,,
158,INQ3023,S & H WHOLE SALE,2020-11-12 00:00:00.000,Customer asked to send him a mail,EnquiryDraft,2020-11-12 12:55:32.983,,
160,INQ109773,Jinny Beauty Supply,2020-12-03 00:00:00.000,To send reminder based on our message of  30 th Nov  2020.,EnquiryDraft,2020-11-30 14:40:44.193,,
161,INQ109774,M&M wireless Inc.,2020-12-03 00:00:00.000,Follow up with customer if no response received from them in response ti our mail of 30 th Nov 2020,EnquiryDraft,2020-11-30 14:53:28.080,,
162,INQ109775,MA United,2020-12-03 00:00:00.000,Reminder to be send on 3rd of Dec,EnquiryDraft,2020-11-30 15:06:42.487,,
163,INQ109776,SUNCITY DISTRIBUTION LLC,2020-12-03 00:00:00.000,Reminder to be sent on 3rd of December,EnquiryDraft,2020-11-30 16:39:23.640,,
164,INQ109777,NULL,2020-12-03 00:00:00.000,Reminder to be sent on 3rd of December,EnquiryDraft,2020-11-30 16:42:07.197,,
165,INQ109781,NULL,2020-12-07 00:00:00.000,REMINDER TO BE SENT ON 7TH OF DECEMBER,EnquiryDraft,2020-12-01 15:16:51.380,,
166,INQ109782,3A Solutions Canada Inc.,2020-12-07 00:00:00.000,REMINDER TO BE SENT ON 7TH OF DECEMBER,EnquiryDraft,2020-12-01 15:28:21.630,,
168,INQ109784,NULL,2020-12-07 00:00:00.000,REMINDER TO BE SENT ON 7TH OF DECEMBER,EnquiryDraft,2020-12-01 16:23:39.937,,
169,INQ109785,"5R Processors, Ltd.",2020-12-07 00:00:00.000,REMINDER TO BE SENT ON 7TH OF DECEMBER,EnquiryDraft,2020-12-01 16:31:00.930,,
171,INQ109793,A & A MACHINERY MOVERS INC.,2020-12-08 00:00:00.000,Reminder to be sent on 8th of December,EnquiryDraft,2020-12-02 09:53:55.023,,
172,INQ109794,A & I PRODUCTS,2020-12-08 00:00:00.000,Reminder to be sent on 8th of December,EnquiryDraft,2020-12-02 09:57:57.947,,
173,INQ109795,A & S METALS,2020-12-08 00:00:00.000,Reminder to be sent on 8th of December,EnquiryDraft,2020-12-02 10:02:13.867,,
174,INQ109797,A B L TECHNOLOGY,2020-12-08 00:00:00.000,REMINDER TO BE SENT ON 8TH OF DECEMBER,EnquiryDraft,2020-12-02 10:34:05.317,,
175,INQ109798,A & A International Inc.,2020-12-08 00:00:00.000,REMINDER TO BE SENT ON 8TH OF DECEMBER,EnquiryDraft,2020-12-02 10:38:39.547,,
176,INQ109799,A & A GLOBAL,2020-12-08 00:00:00.000,REMINDER TO BE SENT ON 8TH OF DECEMBER,EnquiryDraft,2020-12-02 10:43:16.717,,
177,INQ109800,A TO Z Computers(I),2020-12-08 00:00:00.000,REMINDER TO BE SENT ON 8TH OF DECEMBER,EnquiryDraft,2020-12-02 10:48:00.333,,
178,INQ109801,NULL,2020-12-08 00:00:00.000,REMINDER TO BE SENT ON 8TH OF DECEMBER,EnquiryDraft,2020-12-02 10:52:40.357,,
178,INQ109801,NULL,2020-12-08 00:00:00.000,REMINDER TO BE SENT ON 8TH OF DECEMBER,EnquiryDraft,2020-12-02 10:53:38.580,,
159,INQ109752,Cal Micro1111,2020-12-16 00:00:00.000,Call him next time,EnquiryDraft,2020-12-02 16:48:56.820,,
179,INQ109812,A&A Truck Parts,2020-12-09 00:00:00.000,REMINDER TO BE SENT ON 9TH OF DECEMBER,EnquiryDraft,2020-12-03 13:33:49.440,,
180,INQ109813,A&G SHIPPING INT L,2020-12-09 00:00:00.000,REMINDER TO BE SENT ON 9TH OF DECEMBER,EnquiryDraft,2020-12-03 13:41:14.427,,
