EnquiryID,EnquiryNo,CompanyName,NextActionDate,Remarks,Type,CurrentDate,,
6935,INQ106826,TEST COMPANY,2018-06-06 00:00:00.000,SEND QUOTE,Enquiry,2018-06-06 19:56:15.523,,
6937,INQ106828,Chaks,2018-06-08 00:00:00.000,Prepare quote,Enquiry,2018-06-08 08:43:42.150,,
7069,INQ106960,Aramerica Enterprise,2018-07-20 00:00:00.000,This transaction captured much after the  actual shipment,Enquiry,2018-07-20 12:04:56.043,,
7091,INQ106981,AMT Equipments Corp.,2018-07-22 00:00:00.000,No special remarks,Enquiry,2018-07-22 14:12:09.060,,
7143,INQ107033,TEST COMPANY,2018-08-17 00:00:00.000,FOLLOW WITH TRUCKER,Enquiry,2018-08-13 22:41:03.970,,
7145,INQ107035,NC Auto Salvage,2018-08-26 00:00:00.000,Send Quotation,Enquiry,2018-08-26 08:04:53.710,,
7146,INQ107036,TEST COMPANY,2018-08-27 00:00:00.000,GET BOOKING,Enquiry,2018-08-26 11:23:13.850,,
7148,INQ107037,DEMO TEST CO.,2018-08-29 00:00:00.000,SEND QUOTE TODAY,Enquiry,2018-08-29 13:24:18.623,,
7149,INQ107038,Vidtech,2018-09-04 00:00:00.000,CUSTOMER EXPECTING QUOTE BY TOMORROW,Enquiry,2018-09-03 11:37:16.620,,
7150,INQ107039,TEST COMPANY,2018-09-05 00:00:00.000,CUSTOMER RQSTNG QUOTE TODAY,Enquiry,2018-09-05 12:01:53.817,,
7156,INQ107047,DAI DANG KHOA COMPANY LIMITED222222,2018-09-19 00:00:00.000,This is a trial record with test remarks,Enquiry,2018-09-18 02:54:26.653,,
7228,INQ107118,Global Impex Inc.,2018-10-31 00:00:00.000,NA,Enquiry,2018-10-30 11:30:07.343,,
7293,INQ107182,Parwan Electronics Corp1111,2018-10-30 00:00:00.000,NA,Enquiry,2018-11-05 09:40:07.473,,
7470,INQ107358,BE Group 1111,2019-01-03 00:00:00.000,FOR QUOTE,Enquiry,2019-01-02 17:55:16.653,,
7472,INQ2014,POWER ALEX HEAVY EQUIPMENT,2019-01-04 00:00:00.000,Trucking From Savannah port to Lake Butler 32054,Enquiry,2019-01-03 09:37:36.623,,
7472,INQ2014,POWER ALEX HEAVY EQUIPMENT,2019-01-04 00:00:00.000,waiting for release,Enquiry,2019-01-03 10:27:28.873,,
8727,INQ107998,TEST COMPANY,2019-11-18 00:00:00.000,ASK TRUCKER TO CONTACT XZY FOR APPT,Enquiry,2019-11-10 11:56:45.927,,
8475,INQ108340,Gtech international,2020-04-18 00:00:00.000,Move to Quotation for test purpose,Enquiry,2020-04-18 12:52:55.067,,
8397,INQ108264,United 4 Inc.111111,2020-04-18 00:00:00.000,Create Quotation for testing purpose,Enquiry,2020-04-18 13:11:32.600,,
9539,INQ109381,MGM COPIERS555555,2020-09-04 00:00:00.000,Prepare Quote and send to  Customer,Enquiry,2020-09-02 17:58:13.387,,
9752,INQ109589,M M TRADING,2020-10-19 00:00:00.000,Send the quote urgently,Enquiry,2020-10-19 17:24:50.937,,
9971,INQ3024,DANA DAIRY GROUP,2020-12-07 00:00:00.000,check competetive rates and folloup,Enquiry,2020-12-04 09:27:35.023,,
10296,INQ1010351,Vertex Express Freight Forwarder,2021-01-19 00:00:00.000,folowup,Enquiry,2021-01-18 11:37:54.763,,
10309,INQ1010368,NEW HORIZON INTERNATIONAL FORWARDING & SHIPPING AG,2021-01-21 00:00:00.000,follow-up,Enquiry,2021-01-19 11:33:47.853,,
10316,INQ1010377,BLUE FORCE LOGISTICS (M) SDN BHD,2021-01-21 00:00:00.000,followup for lcl move,Enquiry,2021-01-20 10:22:53.850,,
10321,INQ1010383,Vertex Express Freight Forwarder,2021-01-22 00:00:00.000,followup,Enquiry,2021-01-21 10:00:49.970,,
10322,INQ1010384,MGL CARGO SERVICES,2021-01-22 00:00:00.000,followup,Enquiry,2021-01-21 11:08:19.630,,
