tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,"""DGCA / NEW MISCELLANEOUS / 265""",25,FAA AD 2025-16-09,"Air Transport Association (ATA) of America Code:25, Equipment/Furnishings, or Joint Aircraft System Component (JASC) Code 2500, Cabin Equipment/Furnishing; and 2510, flight Compartment Equipment.",MIS,22-Aug-2025,"""DGCA / NEW MISCELLANEOUS / 265""",,,0:00,,"This AD applies to all airplanes, certified in any category, with a restraint system with a Pacific Scientific Company rotary buckle assembly (buckle) part number (P/N) 1111475 (all dash numbers) or P/N 1111548-01 installed having a date of manufacture (DOM) between January 2012 and April 2013 inclusive, or an unknown DOM. These buckle may be installed on, but not limited to, The Boeing Company model airplanes."
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,55.00.22,55,55.00.22,STABILIZERS - Tail rotor flight control Adjustment of the yaw control with a fin with reduced angle,SB,20-Nov-2019,55.00.22,,,0:00,,Helicopters equipped with a fin with reduced angle (Figure 1) on which Service Bulletin No. 55.00.14 was not complied with. Helicopters which have embodied modification 073148 are not concerned by this Service Bulletin.
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,EASB AS350-63-31-0001,63,---,"Mounts and attachments - Replacement of the fittings, screws, washers and nuts of the MGB suspension bars",SB,22-Jan-2026,63-31-0001,,,0:00,,"Model: AS350 Version: B, BA, BB, B1, B2, B3, D, L1 This EASB is only applicable to helicopters delivered before January 1st, 2026 (date of statement of conformity, EASA form 52 or equivalent."
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,53,,05.00.92 Rev 1 TIME LIMITS - MAINTENANCE CHECK- FUSELAGE CHECK for the presence of the main gear box (MGB) suspension bar attachments bracket screw head,SB*,14-Jul-2020,AS350-05.00.92 Rev 1,,,0:00,,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,AS350-24.00.38 R1,24,,ELECTRICAL POWER Installation of a fuse on the main battery or on the main battery and optional battery,SB,21-Jun-2021,AS350-24.00.38 R1,,,0:00,,"Civil versions: B, D, BA, BB, B1, B2, B3 Military version: L1"
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,AS350-88.00.02,24,AS350-88.00.02,ELECTRICAL HARNESSES AND INSTALLATION Improvement of the wiring of the Direct Current (DC) generation system Related to modification 0720189,SB,16-Jan-2024,AS350-88.00.02,,,0:00,,Helicopters/installed equipment or parts Helicopters that satisfy all the conditions that follow: - PRE MOD 0720189 - PRE MOD 073415.
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 01.00.57 R2,80,ASB 01.00.57 R2,LIMITATIONS SKURKA (ex APC) 200-ampere Starter Generator Limitations,SB#,14-Apr-2026,ASB 01.00.57 R2,,,0:00,,AS350 B3
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 01.00.67 Rev 2,100,ASB 01.00.67 Rev 2,Limitation - Fuel System And Check FADEC - Flight manual procedure,SB,18-Feb-2014,ASB 01.00.67 Rev 2,,,0:00,,"AS350 B3 helicopters equipped with an ARRIEL 2D engine and THALES FADEC P/N C13165DA00 or 13165DA00PC00 or C13165FA00, including all amendments"
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 01.00.68 Rev.2 Initial Compliance,100,ASB 01.00.68 Rev.2,LIMITATIONS - Main Gearbox (MGB) Casings Limitation and follow-up of casings in torque cycles(TC),SB,22-Dec-2015,ASB 01.00.68 Rev.2 Initial Compliance,,,0:00,,Helicopters equipped with MGB casings (main casing assembly and MGB sump) with Part Numbers specified in SB
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 01.00.68 Rev.2 Part B,83,ASB 01.00.68 Rev.2,LIMITATIONS - Main Gearbox (MGB) Casings Limitation and follow-up of casings in torque cycles (TC).,SB,22-Dec-2015,ASB 01.00.68 Rev.2 Part B,,,0:00,,Helicopters equipped with MGB casings (main casing assembly and MGB sump) with Part Numbers specified in SB.
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 01.00.68 Rev.2 Part B1,83,ASB 01.00.68 Rev.2,LIMITATIONS - Main Gearbox (MGB) Casings Limitation and follow-up of casings in torque cycles (TC).,SB*,28-Jul-2015,ASB 01.00.68 Rev.2 Part B1,,,0:00,,Helicopters equipped with MGB casings (main casing assembly and MGB sump) with Part Numbers specified in SB.
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 01.00.69 Rev.3,100,ASB 01.00.69 Rev.3,LIMITATIONS - Main Gearbox (MGB) Casings Limitation and follow-up of casings in torque cycles (TC),SB,07-Jan-2016,ASB 01.00.69 Rev.3,,,0:00,,"Helicopters equipped with a MGB sump with a Part Number indicated in SB. Applicable models are Civil version(s): B1, B2 Military version(s): L1"
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 01.00.70 R1,65,ASB 01.00.70 R1,Tail rotor drive shaft bearings,SB*,21-Sep-2015,ASB 01.00.70 R1,,,0:00,,"Helicopters equipped with tail rotor drive shaft bearing with Part Number (MP/N): - 593404 (P/N 704A33-651-181, regreasable) manufactured by FAG."
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 05.00.35,53,ASB 05.00.35,Check of the Attachment Areas of the Heat Shield of the Tail Rotor Drive Shaft Forward Fairing.,SB*,27-Jun-2012,ASB 05.00.35,,,0:00,,"Eurocopter AS 350 B3 Helicopter with Tail rotor drive shaft forward fairing, - Forward fairing, P/N: 350A23-0032-09 pre MOD 073097, 350A23-1075-00 post MOD 073097."
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 05.00.49 R3,100,ASB 05.00.49 R3,"TIME LIMITS - MAINTENANCE CHECKS ""Forced Idle"" Microswitch of the Twist Grip Assembly",SB*,08-Mar-2012,ASB 05.00.49 R3,,,0:00,,Eurocopter AS350B3 Helicopters equipped with the ARRIEL 2B engine
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 05.00.54,100,ASB 05.00.54,TIME LIMITS - MAINTENANCE CHECKS: Oxygen Cylinders,SB,16-Aug-2010,ASB 05.00.54,,,0:00,,"Eurocopter AS 350 B3 Helicopters equipped with oxygen cylinders, P/N GLF311-1, GLF312, GLF313, GLF316, GLF514 or GLD511."
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 05.00.60 R1,5,ASB 05.00.60 R1,TIME LIMITS - MAINTENANCE CHECKS Check for no play in the tail rotor pitch-change links,SB,21-Dec-2021,ASB 05.00.60 R1,,,0:00,,"Helicopters equipped with tail rotor pitch-change links with part numbers: 350A33-2100-00, 350A33-2100-01, 350A33-2100-02, 350A33-2100-03, 350A33-2100-04, 350A33-2121-00, 350A33-2121-01, 350A33-2121-02, 350A33-2143-00,350A33-2145-00 and 350A33-2145-01."
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 05.00.63 R1,100,ASB 05.00.63 R1,EQUIPMENT AND FURNISHINGS - Emergency floatation gear - Check of the front and rear attachment brackets,SB*,18-Apr-2010,ASB 05.00.63 R1,,,0:00,,"Eurocopter AS350 B, BA, BB, B1, B2, B3, D helicopters equipped with fixed parts of the emergency floatation gear."
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 05.00.63 R2,100,ASB 05.00.63 R2,EQUIPMENT AND FURNISHINGS - Emergency floatation gear Check of the front and rear attachment brackets.,SB,17-Mar-2022,ASB 05.00.63 R2,,,0:00,,"Civil version(s): B, BA, BB, B1, B2, B3, D"
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,"ASB 05.00.79,Rev-1",100,"ASB 05.00.79,Rev-1",TIME LIMITS - MAINTENANCE CHECKS - Engine-to-MGB coupling Periodic check of the hydraulic pump drive bearing,SB*,02-Dec-2013,"ASB 05.00.79,Rev-1",,,0:00,,Helicopters with dual hydraulics (POST MOD OP3346 or OP3082) equipped with hydraulic pump drive assembly Part Number (P/N) 350A35-0132-00 (POST MOD 079566 and PRE MOD 079568).
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 05.00.84,100,ASB 05.00.84,TIME LIMITS - MAINTENANCE CHECKS - Main rotor drive Periodic inspection of bi-directional suspension cross-bar P/Nos. 350A381040.20 and 350A381040.00,SB*,21-May-2015,ASB 05.00.84,,,0:00,,"Helicopters equipped with a bi-directional suspension cross-bar with one of the following Part Numbers: - 350A38-1040-20, or, - 350A38-1040-00."
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 05.00.84 Rev 1,100,ASB 05.00.84 Rev 1,TIME LIMITS - MAINTENANCE CHECKS - Main rotor drive.,SB#,17-Nov-2021,ASB 05.00.84 Rev 1,,,0:00,,"Civil version(s): B, B1, B2, B3, BA, BB, D"
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 05.00.88,100,ASB 05.00.88,Checking the level of wear on the brushes and commutator of SKURKA starter-generators,SB,21-Jun-2017,ASB 05.00.88,,,0:00,,- B3 version helicopters which are equipped with an Arriel 2B engine and SKURKA starter-generators Part Number (MP/N) 150SG122Q-4.
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,ASB 05.00.92 Rev 1,53,ASB 05.00.92 Rev 1,TIME LIMITS - MAINTENANCE CHECKS - Fuselage Check for the presence of the Main Gear Box (MGB) suspension bar attachment bracket screw head,SB,16-Jul-2018,ASB 05.00.92 Rev 1,,,0:00,,For all AS350 helicopter versions.
