tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,b70740bb-e394-490e-8fd4-271cf6dd2d90,AS355-52.00.32,52,52.00.32,DOORS - Sliding doors Inspection of the upper rail and roller of the of the LH and/or RH sliding doors,SB,18-Jun-2020,52.00.32,,,0:00,,"Helicopter AS355 versions E, F, F1, F2, N and NP with LH and/or RH sliding door."
157b8d12-c115-446e-a4dc-d12077751fe2,b70740bb-e394-490e-8fd4-271cf6dd2d90,62.00.40 R0,62,62.00.40 R0,Inspection of the Main Rotor Mast (MRM) upper housing.,SB,04-Nov-2021,62.00.40 R0,,,0:00,,"Civil version(s): E, F, F1, F2, N, NP"
157b8d12-c115-446e-a4dc-d12077751fe2,b70740bb-e394-490e-8fd4-271cf6dd2d90,52.00.31,52,AS355-52.00.31,DOORS - Sliding doors Addition of a label on the sliding door cover,SB,18-Jun-2020,AS355-52.00.31,,,0:00,,"AS355 helicopter versions E, F, F1, F2, N, NP equipped with a: - LH rear support Manufacturer Part Number (MP/N) 350A25-0031-38 or 350A25-0268-20, - RH rear support Manufacturer Part Number (MP/N) 350A25-0031-39 or 350A25-0268-21."
157b8d12-c115-446e-a4dc-d12077751fe2,b70740bb-e394-490e-8fd4-271cf6dd2d90,52.00.33,52,52.00.33,DOORS - Cargo doors Rear LH cargo door marking,SB,15-Jul-2020,AS355-52.00.33,,,0:00,,AS355 helicopters all versions.
157b8d12-c115-446e-a4dc-d12077751fe2,b70740bb-e394-490e-8fd4-271cf6dd2d90,33.00.20,33,ASB 33.00.20 R1,"LIGHTS - Position lights Protection of the power supply unit of the optional equipment ""position strobe lights""",SB,17-Nov-2014,ASB 33.00.20 R1,,,0:00,,Helicopters: - which embody modification OP0811 (installation of position strobe lights on the horizontal stabilizer) and - equipped with GRIMES - HONEYWELL power supply unit Part Number (MP/N) 60-1431-3 of the optional position strobe light equipment.
157b8d12-c115-446e-a4dc-d12077751fe2,b70740bb-e394-490e-8fd4-271cf6dd2d90,ASB 01.00.24 R1,64,ASB 01.00.24 R1,In-Service Monitoring of Tail Rotor Forward Drive Shaft P/N 355A34-1090-00,SB,29-Mar-2022,ASB 01.00.24 R1,,,0:00,,"AS 355 Helicopters, versions E - F - F1 - F2 - N fitted with forward shaft P/N 355A34-1090-00."
157b8d12-c115-446e-a4dc-d12077751fe2,b70740bb-e394-490e-8fd4-271cf6dd2d90,SB 01.00.43,53,ASB 01.00.43,Limitations - Check of Tail Boom to Aircraft Structure Attachment Bolts.,SB,28-Nov-2001,ASB 01.00.43,,,0:00,,Refer SB
157b8d12-c115-446e-a4dc-d12077751fe2,b70740bb-e394-490e-8fd4-271cf6dd2d90,SB 01.00.45,4,ASB 01.00.45 Rev.2,LIMITATIONS: Vibrations of Starter-Generators,SB*,22-Jun-2010,ASB 01.00.45 Rev.2,,,0:00,,"Model AS 355, N version Helicopters equipped with one or more starter generators MP/N 524-060 or MP/N 524-061."
157b8d12-c115-446e-a4dc-d12077751fe2,b70740bb-e394-490e-8fd4-271cf6dd2d90,SB 01.00.46,64,ASB 01.00.46,Limitations - Tail Rotor Hub Pitch Change Plate Bearing.,SB,28-Jan-2003,ASB 01.00.46,,,0:00,,"Aircrat equipped with tail rotor hub pitch change plate ""SNR"" bearing P/N 6010F234M16"
157b8d12-c115-446e-a4dc-d12077751fe2,b70740bb-e394-490e-8fd4-271cf6dd2d90,SB 01.00.47,25,ASB 01.00.47,Limitations - SIREN Load Release Units: Load jammed on the cargo hook in the open Position.,SB,12-May-2009,ASB 01.00.47,,,0:00,,"AS 355 E,F, F1, F2 N Helicopters equipped with all types SIREN load release units."
