tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,"""DGCA / NEW MISCELLANEOUS / 265""",25,FAA AD 2025-16-09,"Air Transport Association (ATA) of America Code:25, Equipment/Furnishings, or Joint Aircraft System Component (JASC) Code 2500, Cabin Equipment/Furnishing; and 2510, flight Compartment Equipment.",MIS,22-Aug-2025,"""DGCA / NEW MISCELLANEOUS / 265""",,,0:00,,"This AD applies to all airplanes, certified in any category, with a restraint system with a Pacific Scientific Company rotary buckle assembly (buckle) part number (P/N) 1111475 (all dash numbers) or P/N 1111548-01 installed having a date of manufacture (DOM) between January 2012 and April 2013 inclusive, or an unknown DOM. These buckle may be installed on, but not limited to, The Boeing Company model airplanes."
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,39.00.01 R1,39,39.00.01 R1,HONEYWELL electric control panel.,SB$,06-Sep-1991,39.00.01 R1,,,0:00,,"AS 350 helicopters, ve iork33, D, B1,"
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,55.00.22,27,55.00.22,STABILIZERS - Tail rotor flight control Adjustment of the yaw control with a fin with reduced angle,SB,20-Nov-2019,55.00.22,,,0:00,,Helicopters equipped with a fin with reduced angle (Figure 1) on which Service Bulletin No. 55.00.14 was not complied with. Helicopters which have embodied modification 073148 are not concerned by this Service Bulletin.
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,05.00.92,53,AS350-05.00.92,TIME LIMITS - MAINTENANCE CHECKS - Fuselage Check for the presence of the Main Gear Box (MGB) suspension bar attachment bracket screw head,SB*,16-Jul-2018,AS350-05.00.92,,,0:00,,For all AS350 helicopter versions.
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,AS350-05.00.93 R1,29,,TIME LIMITS - MAINTENANCE CHECKS - Hydraulic pump Greasing of the splines of the secondary hydraulic pump,SB,18-Jun-2021,AS350-05.00.93 R1,,,0:00,,Helicopters with a dual hydraulic system (POST MOD OP3346 or OP3082).
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,AS350-24.00.38 R1,24,,ELECTRICAL POWER Installation of a fuse on the main battery or on the main battery and optional battery,SB,21-Jun-2021,AS350-24.00.38 R1,,,0:00,,"Civil versions: B, D, BA, BB, B1, B2, B3 Military version: L1"
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,52.00.53,52,52.00.53,DOORS - Sliding doors Addition of a label on the sliding door cover,SB,18-Jun-2020,AS350-52.00.53,,,0:00,,"AS350 helicopter versions B, BA, BB, B1, B2, B3, D, L1 equipped with a: - LH rear support Manufacturer Part Number (MP/N) 350A25-0031-38 or 350A25-0268-20. - RH rear support Manufacturer Part Number (MP/N) 350A25-0031-39 or 350A25-0268-21."
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,52.00.55,52,Carry out ASB 52.00.55,DOORS - Cargo doors Rear LH cargo door marking,SB,15-Jul-2020,AS350-52.00.55,,,0:00,,AS350 helicopters all versions.
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,AS350-88.00.02,24,AS350-88.00.02,ELECTRICAL HARNESSES AND INSTALLATION Improvement of the wiring of the Direct Current (DC) generation system Related to modification 0720189,SB,16-Jan-2024,AS350-88.00.02,,,0:00,,Helicopters/installed equipment or parts Helicopters that satisfy all the conditions that follow: - PRE MOD 0720189 - PRE MOD 073415.
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,71.00.36,71,ASB 71.00.36,Power Plant - Air intake Air intake draining on helicopters equipped with the ARRIEL 1 engine,SB,15-Jan-2014,ASB 71.00.36,,,0:00,,"Applicable to AS B, B1 Helicopter version"
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,01.00.03,27,ASB 01.00.03,LIMITATIONS-S.E.P. spherical thrust bearings -P.N. 704A.33.633.27 or .30,SB,04-Jul-1979,ASB 01.00.03,,,0:00,,All AS 350 Helicopters all versions spherical thrust bearings -P.N. 704A.33.633.27 or .30 the serial number of which are found in the following list:
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,01.00.07,20,ASB 01.00.07 Rev 2,L1MITATIONS - Pitch change fifitings reference 350A.12.1368.01 and .02 on tail. rotor blade assemblies.,SB,19-Oct-1981,ASB 01.00.07 Rev 2,,,0:00,,"AS 350 helicopters, all versions.Date of Issue-19-Oct-1981"
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,01.00.14,28,ASB 01.00.14a,"VERIFYING ""LEBOZEC AND GAUTH1ER"" FUEL FILTER P/N. 432B12.3C AND MGB OIL FILTER P/N. 434B12.11",SB$,21-Jun-1985,ASB 01.00.14a,,,0:00,,"VERIFYING ""LEBOZEC AND GAUTH1ER"" FUEL FILTER P/N. 432B12.3C AND MGB OIL FILTER P/N. 434B12.11."
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,01.00.17,1,ASB 01.00.17 Rev A,BEHAVIOUR OF THE HELICOPTER ON THE GROUND WITH ROTOR TURNING,SB*,31-Oct-1986,ASB 01.00.17 Rev A,,,0:00,,Applicable to Eurocopter AS 350 B3 Helicopters.
