tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,,25,EASA AD G-2021-0003,Equipment/Furnishings - Life Jacket - Inspection,MIS,28-Jun-2021,DGCA/NEW-MISC/240,,,0:00,,"Survitec Group Limited (hereafter referred to as ""Survitec"" in this AD) Emergency Breathing System (EBS) P/N 12677009 fitted to Halo Passenger Lifejacket P/Ns 00031010 and 00031031"
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,"""DGCA / NEW MISCELLANEOUS / 153R16""",25,EASA AD 2015-0226R8,ATA 25 - Equipment / Furnishings - Hoist - Test / Replacement.,MIS,22-Jul-2025,"""DGCA / NEW MISCELLANEOUS / 153R16""",,,0:00,,"This AD applies to the following helicopters, when equipped with a Goodrich hoist having a Part Number (P/N) as listed in Table 1 of this AD: Leonardo AW109SP, AB139, AW139 and AB412 (all models) helicopters, all serial numbers (s/n); BTI 212, 214 and 412 helicopters (all models), all s/n; BTCL 429 and 430 helicopters, all s/n; AH AS 365 N3, AS 332 L2 and EC225 LP helicopters, all s/n; AHD MBB-BK117 C-2, EC135 and EC635 (all models) helicopters, all s/n; MDHI MD900 helicopters, all s/n; and Sikorsky S-61 (all models), S-76A, S-76B, S-76C and S-92A helicopters, all s/n."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,"""DGCA / NEW MISCELLANEOUS / 265""",25,FAA AD 2025-16-09,"Air Transport Association (ATA) of America Code:25, Equipment/Furnishings, or Joint Aircraft System Component (JASC) Code 2500, Cabin Equipment/Furnishing; and 2510, flight Compartment Equipment.",MIS,22-Aug-2025,"""DGCA / NEW MISCELLANEOUS / 265""",,,0:00,,"This AD applies to all airplanes, certified in any category, with a restraint system with a Pacific Scientific Company rotary buckle assembly (buckle) part number (P/N) 1111475 (all dash numbers) or P/N 1111548-01 installed having a date of manufacture (DOM) between January 2012 and April 2013 inclusive, or an unknown DOM. These buckle may be installed on, but not limited to, The Boeing Company model airplanes."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,112,4,123,12 3,AD,02-Feb-2011,123,,,0:00,,fdaf
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,,1,,5678,MIS,14-Jan-2014,1234,,,0:00,,
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,ASB 206- 06-109,62,ASB 206- 06-109,MAIN ROTOR LATCH BOLTS 206-010-169-001/ -003 AND 206-011-122-003 REMOVAL FROM SERVICE OF,SB,25-Jul-2006,ASB 206- 06-109,,,0:00,,Model 206B helicopters serial number 661 through 671 and 716 through 3216
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,ASB037,63,ASB 206-(04-01)-73-1,Retirement of Main Rotor Hub Strap Fittings and Pins,SB,25-Jun-1973,ASB 206-(04-01)-73-1,,,0:00,,As in ASB. Dated: 25 jun 1973.
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,ASB038,63,ASB 206-(04-02)-73-1,Inspection of Main Rotor Pitch Link Tubes,SB,07-May-1973,ASB 206-(04-02)-73-1,,,0:00,,All Model 206 and TH-57 helicopters. Dated: 07 May 1973.
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,ASB039,62,ASB 206-(04-02)-73-2,Inspection of Swashplate Bearing,SB,15-May-1973,ASB 206-(04-02)-73-2,,,0:00,,All Model 206 and TH-57 helicopters. Dated: 15 May 1973.
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,ASB 206-00-93 Part II,67,,"COLLECTIVE LEVER ASSEMBLY 206-010-467-001, MODIFICATION AND NEW COLLECTIVE LEVER ASSEMBLY /-105, INTRODUCTION OF",SB,10-Mar-2000,ASB 206-00-93 Part II,,,0:00,,"206B, S/N 661 through 671, AND 716 through 4529"
