tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,"""DGCA / NEW MISCELLANEOUS / 153R16""",25,EASA AD 2015-0226R8,ATA 25 - Equipment / Furnishings - Hoist - Test / Replacement.,MIS,22-Jul-2025,"""DGCA / NEW MISCELLANEOUS / 153R16""",,,0:00,,"This AD applies to the following helicopters, when equipped with a Goodrich hoist having a Part Number (P/N) as listed in Table 1 of this AD: Leonardo AW109SP, AB139, AW139 and AB412 (all models) helicopters, all serial numbers (s/n); BTI 212, 214 and 412 helicopters (all models), all s/n; BTCL 429 and 430 helicopters, all s/n; AH AS 365 N3, AS 332 L2 and EC225 LP helicopters, all s/n; AHD MBB-BK117 C-2, EC135 and EC635 (all models) helicopters, all s/n; MDHI MD900 helicopters, all s/n; and Sikorsky S-61 (all models), S-76A, S-76B, S-76C and S-92A helicopters, all s/n"
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,206L-20-184 R C,62,,"SEGMENTED TAIL ROTOR DRIVESHAFTS 206- 040-369-001/-101, 206-040-365-001/ -117/-125 WITH BONDED ADAPTERS, PROOF LOAD TEST OF.",SB,14-Jan-2021,206L-20-184 R C,,,0:00,,"Serial numbers 45001 through 45153, 46601 through 46617, 45154 through 45790, 51001 through 51612, 52001 through 52223."
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,206L-00-116,67,ASB 206L-00-116,"Collective Lever Assembly 206-010-467-001,Modification and New Collective Lever Assembly /-105,Introduction of",SB,10-Mar-2000,ASB 206L-00-116,,,0:00,,"206L, L1 and L3, 206L3-S/N 51001 through 51612 and other model as specified in ASB."
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,206L-00-117,72,CEB A 72-3247,"Rolls Roys 250-C30P Engine, Replacement Of Compressor scroll 23066737 and 23072848",SB,30-Oct-2000,ASB 206L-00-117,,,0:00,,"206L-3, 206L-4 helicopters with RR 250-C30P engines configured with compressor scroll 23066737 or 23072848. Date of Issue:30-Oct-2000"
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,206L-01-118,25,Breeze Eastern CAB-100-58,"Rescue Hoist,BL-16600 Series,Breeze Eastern Customer Alert Bulletin CAB-100-58",SB,06-Mar-2001,ASB 206L-01-118,,,0:00,,"206L Series with Breeze Eastern BL-16600 series rescue hoists installed and all spare BL-16600 series Rescue Hoists, Date of Issue:06-Mar-2001"
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,206L-01-119,72,ASB 206L-01-119'A',"Chip detector Assembly, Tedeco B4093 and b3188B",SB,07-May-2001,ASB 206L-01-119'A',,,0:00,,"All Model 206L Series h/c s/n 45004 thru 45049, 45051 thru 45153, and 46601 thru 46617.206L-3, S/N 51001 thru 51612, and models specified in ASB. ASB Rev-A,Date of Issue:07-May-2001"
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,206L-01-120,65,ASB 206L-01-120,Tail Rotor Output Shaft 206-040-949-101 by Serial Number Recall of,SB,26-Jul-2001,ASB 206L-01-120,,,0:00,,"Model 206L4 helicopters with High Altitude Tail Rotor Kit, P/N 206-704-722-101, /-111,/-103."
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,206L-01-121,72,CEB A-72-2195,"Rolls Royce Engine,Turbine Assembly-Third Stage Assembly Wheels with Limited Life",SB,17-Sep-2001,ASB 206L-01-121,,,0:00,,All 206L-1 helicopters with Rolls Royce 250-C28 engines configured with third stage turbine wheels PIN 6899383. Date of Issue:17-Sep-2001
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,206L-01-122,100,ASB 206L-01-122,Magnetic Brake P/N 204-001-376-003-One Time Inspection of,SB,03-Oct-2001,ASB 206L-01-122,,,0:00,,"All Model 206L-1 & 206L-3 Helicopters that have IFR kit 206-706-001, /-101,/-103 installed and all delivered spare, Magnetic Brakes 204-001-376-003 Date of Issue:03-Oct-2001"
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,206L-01-123,72,ASB 206L-01-123'A',Inspection of Engine-To-Transmission Driveshaft 206-340-003-105,SB,22-Feb-2006,ASB 206L-01-123'A',,,0:00,,"Model 206L-4 helicopters serial number 52001 through 52262. ASB Rev-A,Date of Issue:22-Feb-2006"
