tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,"""DGCA / NEW MISCELLANEOUS / 265""",25,FAA AD 2025-16-09,"Air Transport Association (ATA) of America Code:25, Equipment/Furnishings, or Joint Aircraft System Component (JASC) Code 2500, Cabin Equipment/Furnishing; and 2510, flight Compartment Equipment.",MIS,22-Aug-2025,"""DGCA / NEW MISCELLANEOUS / 265""",,,0:00,,"This AD applies to all airplanes, certified in any category, with a restraint system with a Pacific Scientific Company rotary buckle assembly (buckle) part number (P/N) 1111475 (all dash numbers) or P/N 1111548-01 installed having a date of manufacture (DOM) between January 2012 and April 2013 inclusive, or an unknown DOM. These buckle may be installed on, but not limited to, The Boeing Company model airplanes."
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,ASB 407-11-95 Rev D,64,ASB 407-11-95 Rev D,"UPPER LEFT LONGERON (CHANNEL) P/N 206-031-314-037/ -177 AND SPARE ASSEMBLY P/N 206-031-314-219B, INSPECTION OF",SB*,21-Aug-2020,ASB 407-11-95 Rev D,,,0:00,,"Serial numbers 53000 through 53900, 53911 through 54061 and 54300 with cumulative flight time of 1200 hours or more."
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,ASB 407-14-102 R.C,76,"CEB 73-6059 Rev 2, CEB 73-6060 Rev 1","ENGINE, FUEL AND CONTROL - OVERSPEED ADAPTER, INTRODUCTION OF",SB*,04-May-2016,ASB 407-14-102 R.C,,,0:00,,"Part I and III - Serial numbers 53000 through 53900, 53911 through 54162, and 54300 through 54500. Part IV - Serial numbers 53000 through 53900, 53911 through 54166, and 54300 through 54570"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,ASB 407-14-104 Rev. A,72,CEB A-72-6078 R2,"ENGINE, TURBINE ASSEMBLY - INSPECTION OF 3RD STAGE TURBINE WHEELS 6898663",SB,03-Nov-2015,ASB 407-14-104 Rev. A,,,0:00,,"Serial number 53000 through 53900, 53911 through 54536, and 54541"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,ASB 407-14-106 Rev.A,71,ASB 407-14-106 Rev.A,FREEWHEEL ASSEMBLY OIL SUPPLY BLOCKAGE,SB,09-Feb-2016,ASB 407-14-106 Rev.A,,,0:00,,"Serial numbers 53000 through 53900, 53911 through 53999, 54000 through 54299 and 54300 through 54545. [Serial number 54546 and subsequent will have the intent of Part I of this bulletin accomplished prior to delivery.]"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,ASB 407-15-108 Rev. B,62,ASB 407-15-108 Rev. B,"MAIN ROTOR MAST 407-040-038-123, INSPECTION AND REPAIR OF",SB,03-Sep-2015,ASB 407-15-108 Rev. B,,,0:00,,"Serial numbers 53000 through 53900, 53911 through 54159, and 54300 through 54574.(Refer SB for affected Mast S/N)"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,ASB 407-15-110,62,ASB 407-15-110,"PYLON SUPPORT 407-030-425-101 AND STOP SUPPORT 407-030-428-101, INSPECTION AND REWORK OF.",SB,14-Jul-2015,ASB 407-15-110,,,0:00,,"Serial numbers 54542 through 54546, 54548, 54551 and 54566"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,ASB 407-15-111,25,ASB 407-15-111,"Seat Belt Comfort Clips, Removal of.",SB,11-Jan-2016,ASB 407-15-111,,,0:00,,"Serial numbers 53000 through 53900, 53911 through 54166, and 54300 through 54599."
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,ASB 407-16-112 Rev.C,21,ASB 407-16-112 Rev.C,"Air Conditioner Blower Motor Connector, Inspection of",SB,10-Jul-2019,ASB 407-16-112 Rev.C,,,0:00,,"Serial number 53000 through 53900, 53911 through 54645. [Serial number 54646 and subsequent will have the intent of bulletin accomplished prior to delivery.]"
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,ASB 407-16-113,66,ASB 407-16-113,"TAIL ROTOR DRIVESHAFT SEGMENT ASSEMBLY, INSPECTION OF",SB,12-Feb-2016,ASB 407-16-113,,,0:00,,"Serial numbers 53000 through 53900, 53911 through 54166, and 54300 through 54657."
