,1,23,SIB 2011-15R2,Mode S and Mode C Transponder Systems: Ground Testing,SB*,28-Jul-2010,SIB 2011-15R2,,,0:00,Form No: RN/32,All owners and operators aircraft having Secondary Surveillance Radar (SSR) Mode Stransponder or SSR Mode C transponder systems installed.,Select,Edit,Delete,View
,1.1,63,ASB 407-96-01,"Main Transmission Assembly P/N 407-040-006-103 Oil Transfer Passage, Inspection of",SB,10-Feb-1996,ASB 407-96-01,,,0:00, ,"All 407 helicopters, Serial Numbers 53000 thru 53045.",Select,Edit,Delete,View
,1.2,100,ASB 407-96-02,Safety of Flight Ship Grounding,SB,15-Oct-1996,ASB 407-96-02,,,0:00, ,"All 407 Helicopters, Serial Numbers 5300 and subsequent.",Select,Edit,Delete,View
,1.3,76,CEB-A-73-6010,"407 Engine FADEC Harness, Replacement of, and FADEC Fault Annunciation, Interpretation of",SB,21-Oct-1996,ASB 407-96-03,,,0:00, ,"All 407 helicopters, Serial Numbers 53000 and subs.",Select,Edit,Delete,View
,1.4,76,CEB A- 73-6012,"Engine FADEC Electronic Control Unit (ECU), Inspection of",SB,18-Nov-1996,ASB 407-96-04,,,0:00, ,Superseded by ASB 407-97-09 (Refer ASB 407-97-09),Select,Edit,Delete,View
,1.5,73,CEB A-73-6011,"Engine Overspeed Protection, Disabling of",SB,18-Nov-1996,ASB 407-96-05,,,0:00, ,Superseded by ASB 407-97-09 (Refer ASB 407-97-09),Select,Edit,Delete,View
,1.6,73,CEB-A-73-6014,"Engine Overspeed Protection Trip Limit, Increase of",SB,22-Mar-1996,ASB 407-96-06,,,0:00, ,"All 407 helicopters, Serial Numbers 53000 and subsequent that are Transport Canada (TCA)-registered, and those affected by Transport Canada Airworthiness directives. Helicopter serial number 53001, 53079,53080, 53081, 53083 and subsequent will have the intent of this bulletin accomplished prior to delivery",Select,Edit,Delete,View
,10,64,ASB 407-18-117,"TAIL ROTOR GEARBOX PITCH CHANGE MECHANISM HOUSING 206-011-721-113, INSPECTION OF",SB,03-Apr-2018,ASB 407-18-117,,,0:00, ,"Serial numbers 54300 through 54566, 54568 through 54657, 54659 through, 54719, 54721 through 54725, 54727 through 54730, 54733, 54741, and 54742.",Select,Edit,Delete,View
,11,24,ASB 407-18-116,"EXTERNAL POWER RECEPTACLE CABLE ASSEMBLIES, ONE-TIME TORQUE CHECK OF",SB,22-Feb-2018,ASB 407-18-116,,,0:00, ,"Serial numbers 54652 through 54679, 54685 through 54697, 54699, 54700, 54702 through 54707, 54717, 54719, 54721, 54727, and 54729.",Select,Edit,Delete,View
,14,63,ASB 407-97-13'A',"T/R Driveshaft, Disk Pack Couplings P/N 406-040-340-101, Torque Check and Special Inspection, Introduction of",SB*,18-Feb-1998,ASB 407-97-13'A',,,0:00, ,All 407 helicopters.(Helicopter 53238 and subsequent completed before delivery),Select,Edit,Delete,View
