assembly_models_name,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
BELL 429,"""DGCA / NEW MISCELLANEOUS / 265""",25,FAA AD 2025-16-09,"Air Transport Association (ATA) of America Code:25, Equipment/Furnishings, or Joint Aircraft System Component (JASC) Code 2500, Cabin Equipment/Furnishing; and 2510, flight Compartment Equipment.",MIS,22-Aug-2025,"""DGCA / NEW MISCELLANEOUS / 265""",,,0:00, ,"This AD applies to all airplanes, certified in any category, with a restraint system with a Pacific Scientific Company rotary buckle assembly (buckle) part number (P/N) 1111475 (all dash numbers) or P/N 1111548-01 installed having a date of manufacture (DOM) between January 2012 and April 2013 inclusive, or an unknown DOM. These buckle may be installed on, but not limited to, The Boeing Company model airplanes."
BELL 429,ASB 429-26-71,26,---,"SEGMENTED SHAFT ASSEMBLY 429-044-250-105, REPLACEMENT OF.",SB#,21-Jan-2026,429-26-71,,,0:00, ,"Serial numbers 57516, 57518, 57520, 57522, 57523, 57527, 57528, 57531, 57532, 57537, 57545, 57546, 57549 and helicopters with spare shafts."
BELL 429,429-19-47 Rev A,66,ASB 429-19-47 Rev A,"TAIL ROTOR GEARBOX SUPPORT RETAINING RIVETS, INSPECTION OF.",SB*,11-Jan-2020,ASB 429-19-47 Rev A Part II,,,0:00, ,Part II - Serial numbers 57001 and subsequent.
BELL 429,429-19-47 Rev A,66,ASB 429-19-47 Rev A,"TAIL ROTOR GEARBOX SUPPORT RETAINING RIVETS, INSPECTION OF.",SB*,12-Nov-2021,ASB 429-19-47 Rev A Part II,,,0:00, ,Part II - Serial numbers 57001 and subsequent.
BELL 429,ASB 429-23-60 RA,64,ASB 429-23-60 RA,"TAIL ROTOR SHAFT ASSEMBLY 429-044-201-107, INSPECTION OF AND INTRODUCTION OF AIRWORTHINESS LIMITATION SCHEDULE.",SB,13-Feb-2024,ASB 429-23-60 RA,,,0:00, ,"Serial numbers 57001 through 57447, 57449, 57450, 57452 through 57460, and 57462 through 57464."
BELL 429,429-11-03,62,ASB 429-11-03 Rev-B,"Main Rotor Pitch Link Rod End Bearing Inspection, Introduction Of.",SB*,05-Sep-2023,ASB 429-11-03,,,0:00, , 
BELL 429,429-11-03,62,ASB 429-11-03 Rev-B,"Main Rotor Pitch Link Rod End Bearing Inspection, Introduction Of.",SB*,05-Sep-2023,ASB 429-11-03 Rev-B,,,0:00, ,Serial number 57001 and subsequent which have accumulated more than 50 hours flight time.
BELL 429,429-11-04,78,ASB 429-11-04,"Exhaust Ejector P/N 429-363-111-101/-102, Inspection And Repair Of.",SB,21-Dec-2011,ASB 429-11-04,,,0:00, ,Model 429 Helicopters Serial Number 57001 And Subsequent
BELL 429,429-12-05,4,ASB 429-12-05,"CHAPTER 4 - AIRWORTHINESS LIMITATIONS SCHEDULE, CHANGES TO",SB,30-Apr-2012,ASB 429-12-05,,,0:00, ,Applicable to 429 Helicopter with Serial number 57001 and subsequent.
BELL 429,429-12-06,43,ASB 429-12-06 Rev B,"Transmission Oil Filler Cap And Adapter Assembly P/N 417-1474-3, Introduction Of",SB,31-Aug-2012,ASB 429-12-06 Rev B,,,0:00, ,Applicable to 429 helicopters with Serial number 57001 through 57113.
BELL 429,429-13-07,34,ASB 429-13-07,Air Data Attitude Heading Reference System (ADAHRS) P/N: 429-075-123-103 Potential Pressure Sensor Defect.,SB,27-Feb-2013,ASB 429-13-07,,,0:00, ,Applicable to Bell 429 Helicopters with Serial numbers 57001 through 57119.
BELL 429,429-13-08,63,ASB 429-13-08 Rev A,Revised Torque Value Of Tailboom Attachment Bolts,SB,24-Jun-2013,ASB 429-13-08 Rev A,,,0:00, ,Applicable to Bell 429 Helicopters with Serial numbers 57001 through 57144.
BELL 429,429-13-09,67,ASB 429-13-09,GOODRICH EXTERNAL HOIST,SB,22-Mar-2013,ASB 429-13-09,,,0:00, ,Applicable to Bell 429 Helicopters with Serial number 57001 through subsequent with Goodrich 44316 series hoist system installed.
BELL 429,429-13-10,67,ASB 429-13-10,Forward and Aft (F/A) Restraint Spring Bell P/N 429-010-204-101 elastomer bond line separation,SB,29-Apr-2013,ASB 429-13-10,,,0:00, ,"Applicable to Bell 429Helicopters with Serial numbers 57101, 57102, 57103, 57108 and 57127"
