tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,AD 2022-0150 R1 Part 3,64,,Tail Rotor - Blades - Inspection,AD*,10-Jul-2024,AD 2022-0150 R1 Part 3,,,0:00,,"EC 130 B4 and EC 130 T2 helicopters, all serial numbers (s/n)."
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,80A005,72,ASB 80A005 Rev 1,Engine Starting-Improving twist grip operational logic Corresponds to MOD 074263,SB,13-Aug-2013,ASB 80A005 Rev 1,,,0:00,,"Helicopters equipped with ARRIEL 2B1 engine, post-MOD 073773 and pre-MOD 074263."
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,04A001,4,ASB 04A001,LIMITATIONS - Lateral Cargo Hold Doors,SB,01-Oct-2005,ASB 04A001,,,0:00,,EC-130B4 Helicopters with Center lock on right and left lateral cargo hold doors pre-MOD 073542.
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,04A002,4,ASB 04A002 R1,LIMITATIONS - APC 200-ampere Starter Generator Limitations,SB,14-Sep-2006,ASB 04A002 R1,,,0:00,,EC-130R4 Helicopters equipped with an APC 200-ampere starter generator P/N 200SGL130Q.
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 04A002 R2,80,ASB 04A002 R2,LIMITATIONS SKURKA (ex APC) 200-ampere Starter Generator Limitations.,SB#,14-Apr-2026,ASB 04A002 R2,,,0:00,,EC130 B4
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 04A003,25,ASB 04A003,LIMITATIONS -SIREN Load Release Units: Load jammed on the cargo hook in the open position,SB,12-May-2009,ASB 04A003,,,0:00,,EC-130B4 Helicopters equipped with all types of SIREN load release units.
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 04A004 R2,73,,LIMITATION - FUEL SYSTEM AND CHECK FADEC - Flight manual procedure.,AD#,17-Feb-2014,ASB 04A004 R2,,,0:00,,EC130 T2 helicopters equipped with an ARRIEL 2D engine.
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 04A005,63,,LIMITATIONS - Main Gearbox (MGB) Casings Limitation and follow-up of casings in torque cycles (TC),AD#,22-Dec-2015,ASB 04A005,,,0:00,,EC130 B4
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 04A007,64,,CORRECTIVE MEASURE LIMITATIONS- Tail Rotor Hub Introduction of a new part number and re-identification of the TRH blade assemblies.,AD#,18-Jul-2018,ASB 04A007,,,0:00,,"EC130 B4, EC130 T2"
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 04A010,63,,LIMITATIONS - Engine-MGB coupling shaft New identification and serialization of the engine-MGB coupling shaft,SB#,15-Jul-2021,ASB 04A010,,,0:00,,EC130 T2
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,05A002,5,ASB 05A002,"TIME LIMITS - MAINTENANCE CHECKS-Cabin Vibration Damper Blades, all part numbers",SB*,18-Jul-2006,ASB 05A002,,,0:00,,EC-130B4 Helicopters with RH and LH cabin vibration damper assemblies. This ASB does not apply to helicopters post- MOD 073565.
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,05A003,5,ASB 05A003,TIME LIMITS - MAINTENANCE CHECKS Functional Check of the Twist Grip Assembly,SB*,13-Jul-2006,ASB 05A003,,,0:00,,"EC-130B4 Helicopters equipped with twist grip assembly, part numbers: 350A27-5209-00, 350A27-5209-01 or 350A27-5209-02."
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 05A005 R2,56,,TIME LIMITS - MAINTENANCE CHECKS Center Windshield,SB,22-Nov-2010,ASB 05A005 R2,,,0:00,,EC130 B4
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,05A005,5,ASB 05A005 R2,TIME LIMITS - MAINTENANCE CHECKS-Center Windshield,SB*,22-Nov-2010,ASB 05A005 R2,,,0:00,,EC-130B4 helicopters with On center windshields pre MOD 073590(Improved center windshield).
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,05A006,25,ASB 05A006 R2,EQUIPMENT AND FURNISHINGS - Crack in the Belt Buckle,SB,13-Nov-2007,ASB 05A006 R2,,,0:00,,Belt buckles P/N 1111430-XX (all dash numbers) and P/N 1111475-XX (all dash numbers) not fitted with a center cap that is blue in color or marked with indelible blue markings installed on harnesses with the following P/N 2000029-XX/2000067-XX/2000115-XX and installed on seats with the following P/N 159-XX/169-XX/170-XX/171-XX.
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,05A008,25,ASB 05A008,TIME LIMITS - MAINTENANCE CHECKS - Emergency floatation gears: periodic check of the floats with intervals in hours,SB*,08-Jun-2009,ASB 05A008,,,0:00,,"EC-130B4 Helicopters equipped with emergency floatation gear installation comprising LH floatation gear, part number 217227-0 and RH floatation gear, part number 217228-0."
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,05A009,76,EASB 05A009 Rev 2,ENGINE CONTROLS - Twist grip Functional check and installation of a protection for micro-contacts 53Ka and 53Kb and 65K (IDLE / FLIGHT mode),SB*,13-Aug-2013,ASB 05A009 Rev 2,,,0:00,,"AS350 and AS550 helicopters equipped with the ARRIEL 2B1 engine (MOD 073254) associated with the two-channel FADEC, embodying modification 073261 (new twist grip). EC130 helicopters equipped with the ARRIEL 2B1 engine associated with the two-channel FADEC, embodying modification 073773 (new twist grip)."
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 05A022 R1,63,,TIME LIMITS - MAINTENANCE CHECKS - Main rotor Periodic inspection of the bi-directional superceedes across-bar.,SB#,17-Nov-2021,ASB 05A022 R1,,,0:00,,EC130 T2
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 05A028 R1,53,,PROTECTIVE MEASURE TIME LIMITS - MAINTENANCE CHECKS - Fuselage Check for the presence of the Main Gear Box suspension bar attachment bracket screw head.,SB,30-May-2022,ASB 05A028 R1,,,0:00,,"EC130 T2, EC130 B4"
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 05A031 R1,52,,PROTECTIVE MEASURE TIME LIMITS - MAINTENANCE CHECKS DOORS - Sliding door - Sliding door opening mechanism.,SB,12-Dec-2019,ASB 05A031 R1,,,0:00,,EC130 B4
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 05A031 R1 Part 2,52,,PROTECTIVE MEASURE TIME LIMITS - MAINTENANCE CHECKS DOORS - Sliding door - Sliding door opening mechanism.,SB,12-Dec-2019,ASB 05A031 R1 Part 2,,,0:00,,EC130 B4
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,ASB 05A031 R1 Part 3,52,,PROTECTIVE MEASURE TIME LIMITS-MAINTENANCE CHECKS DOORS-Sliding door - Sliding door opening mechanism,SB*,12-Dec-2019,ASB 05A031 R1 Part 3,,,0:00,,EC130 B4
