tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,ef002da4-261e-411e-8142-679a1828aff8,DGCA / HAWKER 800/ 02,34,FAA AD 2000-22-03,PITOT/STATIC AND STALL VENT DRAIN VALVES,MOD,30-Oct-2000,DGCA / HAWKER 800/ 02,,,0:00,,"Model DH.125, Model HS.125, Model BH.125, Model BAe.125, Model Hawker 800, Model Hawker 800XP, and Model Hawker 1000"
157b8d12-c115-446e-a4dc-d12077751fe2,ef002da4-261e-411e-8142-679a1828aff8,DGCA / New Misc / 262,34,FAA AD 2025-07-01,"Joint Aircraft System Component (JASC) Code 3417, Air Data Computer",MIS,11-Apr-2025,DGCA / New Misc / 262,,,0:00,,THOMMEN AIRCRAFT EQUIPMENT AG (THOMMEN) AC32 Digital Air Data Computers (ADCs) having an affected This AD applies topart as defined in paragraph (f)(1) of this AD
157b8d12-c115-446e-a4dc-d12077751fe2,ef002da4-261e-411e-8142-679a1828aff8,DGCA / New Misc / 263,25,UK CAA AD No. G-2025-0002,ATA: 25 - Equipment /Furnishings - Pilot & Co-Pilot Seats - Inspection /Modification,MIS,16-Apr-2025,DGCA / New Misc / 263,,,0:00,,"Type 3A063 pilot and co-pilot crew seats, identified by series Part Number (P/N) in Table below. These crew seats are known to be installed on, but not limited to, ATR-GIE Avions de Transport Régional ATR 42 and ATR 72 aeroplanes"
157b8d12-c115-446e-a4dc-d12077751fe2,ef002da4-261e-411e-8142-679a1828aff8,DGCA / New Misc / 263R1,25,UK CAA AD No. G-2025-0002 -Correction,ATA: 25 - Equipment / Furnishings - Pilot & Co-Pilot Seats - Inspection/ Modificatio,MIS,30-Apr-2025,DGCA / New Misc / 263R1,,,0:00,,"Type 3A063 pilot and co-pilot crew seats, identified by series Part Number (P/N) in Table below These crew seats are known to be installed on, but not limited to, ATR-GIE Avions de Transport Régional ATR 42 and ATR 72 aeroplanes."
157b8d12-c115-446e-a4dc-d12077751fe2,ef002da4-261e-411e-8142-679a1828aff8,DGCA / NEW MISCELLAN EOUS /265,25,FAA AD 2025-16-09,"Air Transport Association (ATA) of America Code:25, Equipment/Furnishings, or Joint Aircraft System Component (JASC) Code 2500, Cabin Equipment/Furnishing; and 2510, flight Compartment Equipment.",MIS,22-Aug-2025,DGCA / NEW MISCELLAN EOUS /265,,,0:00,,"This AD applies to all airplanes, certified Iin any category, with a restraint system with a Pacific Scientific Company rotary buckle assembly (buckle) part number (P/N) 1111475 (all dash numbers) or P/N 1111548-01 installed having a date of manufacture (DOM) between January 2012 and April 2013 inclusive, or an unknown DOM. These buckle may be installed on, but not limited to, The Boeing Company model airplanes."
157b8d12-c115-446e-a4dc-d12077751fe2,ef002da4-261e-411e-8142-679a1828aff8,DGCA / NEW MISCELLANEOUS / 266,25,UK CAA AD: G-2025- 0005,Equipment / Furnishings -Passenger Seats - Modification,MIS#,10-Jun-2025,DGCA / NEW MISCELLANEOUS / 266,,,0:00,,Acro Series 9 Passenger Seats with the part number listed in Appendix 1 to this AD.
157b8d12-c115-446e-a4dc-d12077751fe2,ef002da4-261e-411e-8142-679a1828aff8,DGCA / NEW MISCELLANEOUS / 268,34,"DGCA letter reference no.: DGCA 21011/2/2022-AW, dated 19/11/2025",5G C-Band (3300 - 3600 MHz) - Fitment of modified Radio Altimeters on aircraft - reg,MIS,19-Nov-2025,DGCA / NEW MISCELLANEOUS / 268,,,0:00,,"This order applies to all airplanes certificated in any category, equipped with radio altimeteris). These radio altimeters are installed on various airplane models including but not limited to. the airplanes for which the design approval holder is identified below: 1. Airbus 2 American Champion Aircraft Corporation 3 ATR-GIE Avions De Transport Regional 4. BAe Systems 5 Boeing Company 6. Bombardier Inc 7. Cirrus Design Corporation 8. Dassault Aviation 9 Diamond Aircraft Industries 10. Eclipse Aviatie Corporation 11. Embraer Emply Brasileira de Aeronáutica SA 12. EVEKTOR, spol. sr.o. 13. Gippsland Acronautics, Australia 14 Grob Aircraft SE 15. Gulfstream Aerospace 16. Honda Aircraft Company 17 LET Kunovice (Aircraft Industries, a.5.1 18 Maule Air Inc. 19. OMA SUD SPA Sky Technologies 20. Pacific Aerospace Ltd. 21. Piaggio Aero Industries 22. Pilatus Aircraft Ltd. 23 Piper Aircraft Corporation 24. Polskie Zuklady Lotnicze Sp/a.o 25. Quest Aircrall Company 26. Stemme GmbH 27. ?????? Aircrati Company 28. Textron Aviation Inc 29. Vaking Air Ltd. 11 win Otteri 30. Varus 31. Yabora Indústria Aeronáutica SA 32, lin Aircraft as"
157b8d12-c115-446e-a4dc-d12077751fe2,ef002da4-261e-411e-8142-679a1828aff8,DGCA / NEW MISCELLANEOUS / 269,25,EASA AD 2025-0295,ATA 25 - Equipment / Furnishings - Pallet Net - Limitation,MIS#,22-Dec-2025,DGCA / NEW MISCELLANEOUS / 269,,,0:00,,"Pallet nets part number 5010-2M4N-()-()()(), all serial numbers manufactured on or before 20 May 2025. The affected pallet nets can be carried on board of various aircraft types, included, but not limited to, large aeroplanes used for transportation of passengers and/or freight."
157b8d12-c115-446e-a4dc-d12077751fe2,ef002da4-261e-411e-8142-679a1828aff8,DGCA / NEW MISCELLANEOUS / 270,25,EASA AD 2025-0294,ATA 25 - Equipment / Furnishings - Medical Seats - Modification,MIS#,22-Dec-2025,DGCA / NEW MISCELLANEOUS / 270,,,0:00,,"Medical seat part number 9613-1-35-( ), serial numbers 3241, 3242, 3243, 3244, 3245, 3473, 3474, 3475, 3476, 3481, 3482, 3483, 3484, 3546, 3547, 3548, 3549, 3575, 3576, 3577, 3578, 3591, 3646, 3647, 3648, 3649, 3703, 3958, 3959, 3960, 3961, 4114, 4115, 4116, 4117, 4118, 4119, 4120, 4121, 4122, 4131, 4132, 4133, 4134, 4135, 4175, 4180, 4202, 4203, 4204, 4205, 4206, 4207, 4208, 4209, 4210, 4211, 4212 and 4213. These seats are known to be installed on, but not limited to, Airbus Helicopters Deutschland (AHD) EC135, AHD MBB-BK 117, Bell Textron Canada 429 and Bell Textron 412 helicopters."
157b8d12-c115-446e-a4dc-d12077751fe2,ef002da4-261e-411e-8142-679a1828aff8,DGCA / NEW MISCELLANEOUS / 270R1,25,EASA AD No.: 2025-0294R1,ATA 25 - Equipment / Furnishings - Medical Seats - Modification,MIS#,10-Feb-2026,DGCA / NEW MISCELLANEOUS / 270R1,,,0:00,,"Medical seat Part Number (P/N) 9613-1-35-( ), serial numbers (s/n) 3241, 3242, 3243, 3244, 3245, 3473, 3474, 3475, 3476, 3481, 3482, 3483, 3484, 3546, 3547, 3548, 3549, 3575, 3576, 3577, 3578, 3591, 3646, 3647, 3648, 3649, 3703, 3958, 3959, 3960, 3961, 4114, 4115, 4116, 4117, 4118, 4119, 4120, 4121, 4122, 4131, 4132, 4133, 4134, 4135, 4175, 4180, 4202, 4203, 4204, 4205, 4206, 4207, 4208, 4209, 4210, 4211, 4212 and 4213."
