tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,.,35,.,128,(X),10-Dec-2010,.,,,0:00,,
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,36,.,155,(X),10-Dec-2010,..,,,0:00,,
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,30,.,133,(X),10-Dec-2010,...,,,0:00,,
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,AD 2014-22-01,22,AD 2014-22-01,Air Transport Association of America (ATA) Code 5: Time Limits.,AD,18-Dec-2014,AD 2014-22-01,,,0:00,,"This AD applies to PILATUS AIRCRAFT LTD. Models PC-12, PC-12/45, PC-12/47, and PC-12/47E airplanes, all manufacturer serial numbers (MSNs), certificated in any category."
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,ASB-32-021,32,ASB 32-021,LANDING GEAR - NOSE WHEEL STEERING REPLACEMENT OF THE CRANK BAR ASSY,SB,21-Nov-2008,ASB 32-021,,,0:00,,All PC-12 and PC-12/45 aircraft from MSN 101 thru MSN 299.
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,ASB-34-020,34,ASB 34-020 R1,Navigation - Dependent Positioning Determining - Install A GPS Receiver That Is Wide Area Augmentation System (WAAS) Capable,SB$,05-Jul-2010,ASB 34-020 R1,,,0:00,,Model PC-12/47E aircraft MSN 545 and MSN 1001 thru 9999 with non-WAAS capable Global Positioning System (GPS) Receiver(s) installed.
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,46-006,46,ASB 46-006 R!,SYSTEMS INTEGRATION AND DISPLAY WIRELESS DATA LOADING SYSTEM (CONNECTED FLIGHT DECK) SOFTWARE UPGRADE,SB$,23-Oct-2015,ASB 46-006 R1,,,0:00,,"PC-12/47E aircraft MSN 545, 1001 thru 1575 with Connected Flight Deck installed. This modification will be accomplished during production on MSN 1576 and subsequent"
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,ASB-04-018,4,ASB-04-018,AIRWORTHINESS LIMITATIONS - GENERAL COLOMBIA UNIDAD ADMINISTRATIVA ESPECIAL DE AERONAUTICA CERTIFICATION STANDARD,SB#,17-Jul-2015,ASB-04-018,,,0:00,,"All PC-12, PC-12/45, PC-12/47 and PC-12/47E aircraft which are required to comply with the Colombian Civil Aviation Administration (UAEAC) certification standard."
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,ASB-04-019,4,ASB-04-019,AIRWORTHINESS LIMITATIONS - GENERAL CIVIL AVIATION AUTHORITY OF PERU CERTIFICATION STANDARD,SB#,23-Jul-2015,ASB-04-019,,,0:00,,"All PC-12, PC-12/45, PC-12/47 and PC-12/47E aircraft which are required to comply with the Civil Aviation Authority of Peru (DGAC, Peru) certification standard."
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,ASB-53-007,53,ASB-53-007,FUSELAGE - REAR FUSELAGE INSTALLATION OF AN IMPROVED MOUNTING FOR THE VHF3 ANTENNA,SB$,28-May-2015,ASB-53-007,,,0:00,,"All PC-12, PC-12/45, PC-12/47 and PC-12/47E aircraft with an optional VHF3 antenna installed by P/N 523.15.12.005 or 523.12.12.013 or 523.12.12.014, or those customers who wish to install an optional VHF3 antenna between frames 36 and 37."
