tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,"""DGCA / NEW MISCELLANEOUS / 153R16""",25,EASA AD 2015-0226R8,ATA 25 - Equipment / Furnishings - Hoist - Test / Replacement.,MIS,22-Jul-2025,"""DGCA / NEW MISCELLANEOUS / 153R16""",,,0:00,,"This AD applies to the following helicopters, when equipped with a Goodrich hoist having a Part Number (P/N) as listed in Table 1 of this AD: Leonardo AW109SP, AB139, AW139 and AB412 (all models) helicopters, all serial numbers (s/n); BTI 212, 214 and 412 helicopters (all models), all s/n; BTCL 429 and 430 helicopters, all s/n; AH AS 365 N3, AS 332 L2 and EC225 LP helicopters, all s/n; AHD MBB-BK117 C-2, EC135 and EC635 (all models) helicopters, all s/n; MDHI MD900 helicopters, all s/n; and Sikorsky S-61 (all models), S-76A, S-76B, S-76C and S-92A helicopters, all s/n."
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,"""DGCA / NEW MISCELLANEOUS / 265""",25,FAA AD 2025-16-09,"Air Transport Association (ATA) of America Code:25, Equipment/Furnishings, or Joint Aircraft System Component (JASC) Code 2500, Cabin Equipment/Furnishing; and 2510, flight Compartment Equipment.",MIS,22-Aug-2025,"""DGCA / NEW MISCELLANEOUS / 265""",,,0:00,,"This AD applies to all airplanes, certified in any category, with a restraint system with a Pacific Scientific Company rotary buckle assembly (buckle) part number (P/N) 1111475 (all dash numbers) or P/N 1111548-01 installed having a date of manufacture (DOM) between January 2012 and April 2013 inclusive, or an unknown DOM. These buckle may be installed on, but not limited to, The Boeing Company model airplanes."
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,100,,delete,(X),05-Sep-2002,.,,,0:00,,delete
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,75-03,75,ABS76-75-3,AIR - Engine Air Particle Separator (EAPS) System - Installation of Provisions/Conversion to Operational Status,SB$,23-Jul-1981,ABS76-75-3,,,0:00,,"Model S76 SS Nos. 76005 thru 76007, 760001 thru 760011, 760018 thru 760088."
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,21,ASB 76-21-07 Rev.A,delete,(X),10-Aug-2009,ASB 76-21-07 Rev.A,,,0:00,,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,21-01,21,ASB 76-21-1,Air Conditioning-Vent System-Installation Of Additional Cockpit Vents,SB$,06-Feb-1981,ASB 76-21-1,,,0:00,,"Model S 76 SS No 76003,76005 thru 76007. SS No 760001 thru 760088. Component: 76211-03012-049 and -050 assemblies"
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,21-04,21,ASB 76-21-4 Rev.A,AIR CONDITIONING SYSTEM - Aero Aire Air Conditioning System - Soft-Start Assembly - Inspection of,SB,24-Feb-1998,ASB 76-21-4 Rev.A,,,0:00,,All S-76 helicopters with Aero Aire Air Conditioning System S-76A-1-2 installed
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,21-05,21,ASB 76-21-5 Rev.A,AIR CONDITIONING - Automatic Cabin Temperature (C4) System -Blower/Evaporator Module Assembly - Inspection Retrofit of,SB,20-Mar-2002,ASB 76-21-5 Rev.A,,,0:00,,All S-76 helicopters with Automatic Cabin Temperature (C4) System delivered prior to issue date of this ASB.
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,21-06,21,ASB 76-21-6,AIR CONDITIONING - Automatic Cabin Temperature (C4) System - Wiring Harness - One-Time Inspection and If Required Correction of,SB,11-Jul-2005,ASB 76-21-6,,,0:00,,S-76B/C and C+ model helicopters up to and including S/N 760584 with Automatic Cabin Temperature (C4) System.
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,21-07,21,ASB 76-21-7 Rev.A,AIR CONDITIONING - Environmental Control System (ECS) - Cabin Heat Boost System - Removal of,SB,05-Oct-2009,ASB 76-21-7 Rev.A,,,0:00,,All S-76 model helicopters equipped with ECS cabin heat boost system.
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,21,,delete,(X),05-Oct-2009,ASB 76-21-7A,,,0:00,,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,22-6,22,ASB 76-22-6 Rev.A,AUTOFLIGHT - AFCS Yaw Actuators - Wiring Harness Clamping - One-Time Insp of (Supersedes ASB No. 76-22-6),SB,08-Jul-1997,ASB 76-22-6 Rev.A,,,0:00,,All S-76 prior to and including SS No. 760469
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,23-1,23,ASB 76-23-1,COMMUNICATIONS- ICS control panel-Incorporation Of Modified Control Panels(CAA Configured helicopters only),SB,11-Jul-1988,ASB 76-23-1,,,0:00,,"Model S-76, SS Nos 760018,760021,760022,760024 thru 760026 and 760032"
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,23-02,23,ASB 76-23-2A,"CUSTOMER SERVICE BULLETIN NO 76-23-2, COMMUNICATIONS-ICS System-Incorporation of separate ground wires",SB,12-Feb-1981,ASB 76-23-2A,,,0:00,,"Model S-76 SS Nos 76003,76005 thru 76007 SS Nos 760001 thru 760107"
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,24-1,24,ASB 76-24-1,ELECTRICAL POWER-DC POWER SYSTEM-Transfer of Collective Bias Circuit Breaker to No.1 DC Primary Bus,SB,10-Apr-1980,ASB 76-24-1,,,0:00,,"Model: S76 SS Nos 76003,76005 thru 76007 SS Nos 760001 thru 760006,760009 thru 760011."
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,24-12,24,ASB 76-24-12 Rev.A,"Electrical Power - AC Junction Box No. 1 and No. 2 AC Primary Bus Contactor,K4/AC and K2/AC -Modification of",SB,06-Aug-2003,ASB 76-24-12 Rev.A,,,0:00,,"Aircraft with dual KGS SPC-75B Static Inverters: S-76C model: (760375, 760376, 760407,760419, 760421, 760426, 760431, 760436, and 760440. Aircraft with dual KGS SPC-38G Static Inverters: S-76C model:"
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,24-13,24,ASB 76-24-13 Rev.A,ELECTRICAL POWER - AC Power System - Static Inverter Circuit Protection - Modification of,SB,19-Jun-2003,ASB 76-24-13 Rev.A,,,0:00,,"S-76C serial numbers, including but not limited to:760438, 760453,760460, 760461,760463, 760464,760466 through 760506, and 760508 through 760540. The subset of this population delivered without AC gen"
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,24-14,24,ASB 76-24-14 Rev.A,ELECTRICAL POWER - AC Power System - Dual Inverter Wiring - Modificationof,SB,09-Oct-2003,ASB 76-24-14 Rev.A,,,0:00,,"S-76A, B, and C,model helicopters with dual inverters."
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,24-14,24,ASB 76-24-14A,ELECTRICAL POWER -AC Power System-Dual Inverter Wiring- Modification of,SB,09-Oct-2003,ASB 76-24-14A,,,0:00,,"All S-76 A, B, and C model helicopters with dual inverters."
