tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,is_rii,show_in_c_of_a,estimated_man_hours,revision_status
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,101,,Aeromobile Licence,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,12,,Every 600 Hours/24 Months Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,12,,Every 100 Hours Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,12,,Every 600 Hours /24 Months Engine Oil System- Draining,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,12,,Every 3000 Hours/24 Months Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,12,,Every 3000 Hours/48 Months Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,3000 Hrs / 4 Yrs Lubrication.,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,12,,Carry Out 150 Hrs / 6 M Lubrication Inspection.,LS*,,,0:00,Note: As Per Schedule Form No: AS350B3/49
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,12,,150 Hours / 6 Months Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,12,,Carry Out 150 Hrs / 3 M Lubrication Inspection.,LS*,,,0:00,Note: As Per Schedule Form No: AS350B3/49
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 5400 Hours / 6 Years OOP inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 100 Hours Air-conditioning (Air-Comm),OP*,,,0:00,Form No: AS350B3/10
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 2400 Hrs / 6 Yrs OOP Inspection.,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 1200 Hrs / 2 Yrs OOP Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,"MSM 05-25-00, 60-00,62-30",Every 72 Months Airframe Inspection,OP*,,,0:00,Form No:AS350B3/130
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 50 Hrs OOP Inspection,OP*,,,0:00,Ref: Form No: AS350B3/88
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 2500 Hrs / 6 Yrs OOP Inspection.,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 5000 Hours / 6 Years Airframe Inspection.,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 300 Hrs Airframe Inspection,OP*,,,0:00,Note: Schedule Form No: AS350B3/98
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 100 Hrs / 6 M OOP Inspection.,OP*,,,0:00,Note: Schedule Form No: AS350B3/121
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 3000 Hrs/ 6 Yrs OOP Inspection.,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 660 Hrs / 12 M OOP Inspection.,OP*,,,0:00,Note: EASB 05.00.61 R3 EASA AD 2017-0059 DGCA/AS350 Series/117 R2
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 5400 Hrs OOP Inspection,OP*,,,0:00,Schedule Form No: AS350B3/95
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 5000 Hrs / 6 Yrs Inspection.,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Carry Out 2250 Hrs Inspection.,ROU*,,,0:00,Note: As per schedule Form No: ASB350B3/80
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 300 Hours/24 Months Airframe Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,5,,Every 10 Hours/ 7Days Airframe Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,101,,Turn Slip Indicator,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,d88e2641-dd39-4814-9f04-682a3c823bff,,101,,Carry Out First Aid Kit Re-Certification,ROU*,,,0:00,
