tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,is_rii,show_in_c_of_a,estimated_man_hours,revision_status
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,53,,"Every 2500 Hours Inspection on Frame web, FS 179 thru FS 271",CH*,,,0:00,Initially at 2500 Cyc. and 2500 Cyc Recurring upto 10000 cyc Thereafter Recurring 1000 cyc.
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,53,,Every 10000 L Inspection of stringers from FS 88 thru FS 125 and instrument panel support brackets for cracks,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,26,,Monthly Inspection of Cabin Fire Extinguisher,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,53,,Every 10000 L Inspection of AFT fuselage area & rear pressure bulkhead,CH*,,,0:00,Initially at 10000 cycle and thereafter every 500 cycle
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,53,,Every 10000 Landings Inspection of upper and lower windshield and storm window corners,CH*,,,0:00,Initially at 10000 cycle and thereafter every 1000 cycle
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,53,,"Inspection of Frames web, fuselage FS 179 to FS 271",CH*,,,0:00,Initially at 5000 cycle and thereafter every 1000 cycle
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,57,,Every 5 Year visual inspection for cracks corrosion and mechanical damage of lower forward main spar Clevis fitting,CH*,,,0:00,visual inspection for cracks corrosion and mechanical damage
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,26,,Monthly Inspection of Cockpit Fire Extinguisher,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,57,,Every 27000 L Eddy Current Inspection of Centre section lower aft spar cap fitting,CH*,,,0:00,Eddy Current Inspection Initially at 27000 Hrs and thereafter every 1500 Hrs
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,57,,Every 22500 Hours Eddy Current Inspection of Centre Section of Belly Skin,CH*,,,0:00,Initially at 22500 Hrs and thereafter every 3000 Hrs subsequently
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,53,,Every 10000 L Inspection on Skin exterior ( Including Nose wheel well keels ),CH*,,,0:00,Initially at 10000 cycle and thereafter Every 1000 cycle
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,,Every 500 L Inspection on Non Reworked Stringers 5 thru 11 (DGCA/B200/17),CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,,Fuselage Stringers 5 thru 11(Non Reworked Stringers),CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,53,,Every 10000 L Inspection of fuselage frames FS84 thru FS347.75,CH*,,,0:00,Initially at 10000 cycle and thereafter every 1000 cycle
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,53,,Every 10000 L Inspection on Fuselage frames & cabin door,CH*,,,0:00,Initially at 10000 cycle and thereafter every 500 cycle.
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,101,,Insurance Renewal,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,53,,Every 10000 L Inspection on stringers with internal Reinforcement kits installed,CH*,,,0:00,Initially at 10000 cycle and thereafter every 2500 cycle
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,53,,Stringers with External Doublers,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,,"Non reworked stringers on the aft side of the rear pressure bulkhead if stringers 8, 9 &10 (left & right ) have internal Reinforcement kits installed",CH*,,,0:00,Initially at 2500 cycle and thereafter every 500 cycle
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,,Stringers with External Doubler installed,CH*,,,0:00,Initially at 2500 cycle and thereafter every 1000 cycle
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,57,,Every 18000 Hours Inspection on Centre Section Lower Forward Spar Cap.,CH*,,,0:00,Eddy Current Inspection Initially at 18000 Hrs and thereafter every 3000 Hrs
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,57,,Every 15000 L Eddy Current Inspection Lower FWD Main Spar Lugs,CH*,,,0:00,Eddy Current Inspection for cracks Initially at 15000 Hrs and thereafter every 6000 Hrs subsequently
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,,Non reworked stringers 5 thru 11 ( Both LH & RH ) on the aft side of the rear pressure bulkhead at the point where zee stiffeners with are attached to the stringer with 6 rivets.,CH*,,,0:00,Initially at 2500 cycle and thereafter every 500 cycle
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,,CPCP (4 Yrs / 2 Yrs) Inspection - 2 Yrs frequency,CP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,,8Yrs / 4Yrs CPCP,CP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,,800Hrs/24Mts Lubricatin Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,,1200Hrs Lubrication,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,Flap Actuator Piston-LH-IB,Lubrication of Flap Actuator Piston LH-IB,LS*,,,0:00,P/N- 50-521151-6 S/N- UNK
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,,600Hrs Lubrication,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,Flap Actuator Piston,Lubrication of Flap Actuator Piston RH-OB,LS*,,,0:00,P/N-50-521151-6 S/N- UNK...
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,Flap Actuator Piston LH-OB,Lubrication of Flap Actuator Piston LH-OB,LS*,,,0:00,P/N-50-521151-6 S/N- UNK.
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,,12 Mts Lubrication inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,,Every Yearly Lubrication Inspection of Upper forward wing bolts,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,,800Hrs Lubrication,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,Flap Actuator Piston,Lubrication of Flap Actuator Piston RH-IB,LS*,,,0:00,P/N-50-521151-6 S/N- UNK..
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,,400Hrs Lubrication,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,12,,400Hrs/12Mts Lubrication,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,934,5,"PArt D, No. 10",10000cycles initial and there after every 1000cycles,OP*,,,0:00,Intially done at 10000 Landings then change the frequency to 1000 Landings
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,,20000 Hrs Out of Phase inspection (Inspection Document ML),OP*,,,0:00,"After completion of this inspection please downgrade the frequency, and make it 3600 Hrs repetative inspection from 20000 hrs one time inspection."
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,53,,"Airstair Door - (Inspect for cracks) (including all upper latches, latch rods and hinges )",OP*,,,0:00,Initially at 5000 cycles and thereafter every 1000 cycles
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,Inspection Document 11,1600 Hours/24 Months (Inspection Document 11),OP*,,,0:00,Inspection Document 11
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,384,5,"Part D, No.24",1000Hrs / 1Year Out of Phase Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,32,,Remove Nose wheel Assy. as due for penetrant or eddy current inspection of wheel halves . install serviceable one,OP*,,,0:00,NOSE WHEEL ASSY
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,27,,Every 5000 Landings Inspection of Flap Flexible Drive Shaft - RH (IB),OP*,,,0:00,TASK REQUIREMENT:-Inspect for wear and freedom of operation with both endsdisconnected.
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,32,32-30-00-18-240-LH,Insp. Clevis Hole of actuator Clevis Main L/G LH,OP*,,,0:00,Inspect Clevis Hole
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,366,5,"Part D, No.6",5000 Hr Out of phase Inspection (Inspection Document 14),OP*,,,0:00,"After completion of this inspection please downgrade the frequency, and make it 2500 Hrs repetative inspection from 5000 hrs one time inspection.Inspection Document 14."
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,381,5,"Part D, No.21",400Hrs / 6Months Out of phase Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,,15000Hrs and thereafter at every 3000Hrs Out of Phase Inspection.,OP*,,,0:00,Intially done at 15000 Hrs then change the frequency to 3000 Hrs
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,379,5,"Part D, No.19",6 Years Out of Phase Inspection (Inspection Document 04),OP*,,,0:00,Inspection Document 04
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,,10000 Cycles and thereafter at every 5000 Cycles Out of Phase Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,Inspection Document 12,1600 Hours/60 Months (Inspection Document 12),OP*,,,0:00,Inspection Document 12
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,,5Yrs/1Yr OOP Inspection,OP*,,,0:00,Initially at 5Yrs thereafter every 1Yr.
157b8d12-c115-446e-a4dc-d12077751fe2,86906960-e109-40fd-8ff9-a75f1754ba02,,5,Inspection Document 0A,Annual Inspection (Inspection Document 0A),OP*,,,0:00,Inspection Document 0A
