tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,is_rii,show_in_c_of_a,estimated_man_hours,revision_status
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,,99,,Annual Inspection of Aircomm Air Conditioning System,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,,99,,Inspection of Aircomm Air Conditioning System,CH*,,,0:00,Form No:206L4/62
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,342,12,,200Hrs/12months Lubrication Schedule,LS*,,,0:00,Form No:206L4/34
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,,5,,Engine oil filter Element,LS*,,,0:00,Replaced in concurrent with engine oil change
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,344,12,,300Hrs/12Months Lubrication Schedule,LS*,,,0:00,Form No:206L4/36
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,339,12,,50Hrs/12Months Lubrication Schedule,LS*,,,0:00,Form No:206L4/31
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,343,12,,300 Hrs Lubrication Schedule,LS*,,,0:00,Form No:206L4/35
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,,5,,Hydraulic Filter Servicing,LS*,,,0:00,Form No:206L4/35
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,340,12,,100Hrs/12Months Lubrication Schedule,LS*,,,0:00,Form No:206L4/32
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,,12,,600 Hrs/12 Months Lubrication Schedule,LS*,,,0:00,Form No:206L4/37
157b8d12-c115-446e-a4dc-d12077751fe2,976352b9-ee52-4d36-88d5-64b2c49e5f4a,,5,,1200 Hours Inspection,OP*,,,0:00,Form No:206L4/14
