tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,is_rii,show_in_c_of_a,estimated_man_hours,revision_status
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,99,,300 Hours Inspection of Particle Separator,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,99,,Annual Inspecton of Tail rotor Pedal Lockout Kit,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,99,,300 Hours/12 Months Inspection of Skid Tubes,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,99,,300 Hours Inspection of Dual Controls,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,99,,Every 12 months High Visibility Crew Door Kits,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,99,,Every 12 Months Step/Handle Inspection,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,99,,300 Hours/12 Months Inspection of Flite Steps,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,99,,300 Hours/12 Months Inspection of Low and High Skid Landing Gear Cross Tubes,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,99,,Every 12 Months High Visibility Door Kits,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,99,,300 Hours/12 Months Inspection of Skid Tubes,CP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,100 Hours/90 Days Corrosion Inspection,CP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,12,,Engine Oil Change,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,12,,150 Hours Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,12,,25 Hours lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,12,,300 Hours Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,12,,300 Hours/3 Months Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,12,,300 Hours/12 Months Lubrication Inspection,LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 300 Hours Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,101,,Annual Certification of First Aid Kit,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 25 Hours Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,12,,50 Hrs/3 Months Lubrication Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 24 Months Scheduled Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,26,,Annual Weighing of Cabin Fire Extinguisher,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,101,,Aeromobile Licence,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Mast Assembly,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,12,,300 HRS/12 Months Lubrication Inspections,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 1200 Hours/24 Months Scheduled Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,25 Hours Lubrication,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 600 Hours/12 Months Scheduled Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 300/12 Months inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 100 Hours Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,26,,Every 1 Month Inspection of Fire Extinguisher,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,101,,A.R.C,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Interim Inspection of Freewheel Assembly,ROU*,,,0:00,Interim Inspection
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 1200 Hours Scheduled Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,101,,Fuel MBT,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,101,,Aircraft Weighing,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,25,,Compass Swing,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,101,,ELT Annual Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,101,,Monthly ELT Functional Check,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Interim Inspection of Spring Link Assembly,ROU*,,,0:00,Interim Inspection
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Interim Inspection of Transmission Assembly,ROU*,,,0:00,Interim Inspection
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Interim Inspection of Tail Rotor Gearbox Assembly,ROU*,,,0:00,Interim Inspection
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Interim Inspection of Mast Assembly,ROU*,,,0:00,Interim Inspection
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 12 Months Scheduled Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,101,,ELT Battery,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 2500 Hours Scheduled Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 600 Hours Scheduled Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,101,SIB 2011-15 R2,Transponder Check (24 Months),ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,5,,Every 300 Hours/12 Months Scheduled Inspection,ROU*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,2c1a7b29-95fd-40d3-93e1-d68d9517cc7b,,101,,First Aid Kit Certification,ROU*,,,0:00,
