tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,is_rii,show_in_c_of_a,estimated_man_hours,revision_status
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,5,,Tail rotor hub mast nut torque check,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,5,,MAin rotor mast nut torque check .,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,5,,Main rotor lower cone torque check .,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,5,,Engine mount torque check,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,5,,Fwd and Aft TDS shaft torque check,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,5,,TGB mounting torque check,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,5,,Main rotor Hub lower cone torque check,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,5,,MAin rotor Hub mast nut torque check,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,100,,Annual Inspection of Slide Window Lock,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,100,,300Hrs/12Months Inspection of Barrier Filter,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,,300Hrs/12Months Inspection of Wire Strike Protection System,CH*,,,0:00,"Rev No. 00, Form No. Bell407/71/2009"
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,72,,"Annual Inspection Windows, Windshields",CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,100,,"Annual Inspection of Windows, Chin Bubble",CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,100,,Annual Inspection of Door Openers,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,,Engine Compartment Bleed Air System (Annual Inspection),CH*,,,0:00,form no Bell 407/68
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,101,,Aeromobile Licence,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,101,,Insurance,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,Form No: Bell407/120,Annual Inspection of AAI Console Assembly,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,Form No: Bell407/123,Every 24 Months Inspection of Auxiliary Fuel Tank Kit,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,,Every 300 Hours / 12 Months inspection of Inlet Barrier Filter,CH*,,,0:00,Cleaning & Oiling
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,,Cargo Hook Inspection,CH*,,,0:00,Form No. Bell407/61
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,Bell407/407 GX/126,Pre Flight step handle Inspection,CH*,,,0:00,Form No. Bell407/126
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,,Skid Tubes,CH*,,,0:00,Form no Bell 407/69
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,,Hard point kit Inspection,CH*,,,0:00,Form No. Bell407/79
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,,Particle Separator,CH*,,,0:00,Part of 300 Hrs/12 mnth Inspection
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,100,,300Hrs/12Months Inspection of Blade Folding Kit,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,,Dual Control,CH*,,,0:00,Part of 300Hrs/12 Mnth Inspection
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,Form No: Bell407/407 GX/68,Annual Inspection of engine compartment Bleed Air System,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,Form No: Bell407/407 GX/66,Annual Inspection of LH & RH Folding Maintenance Steps,CH*,,,0:00,Form No. Bell407/66
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,,Rotor Brake,CH*,,,0:00,Part of 300Hrs/12Mnth Inspection
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,,Garmin GPS waas system Inspection,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,Form No: Bell 407/407 GX/73,Every 100 Hours Inspection of Aircomm cabin air conditioning system,CH*,,,0:00,"Rev No. 00, Form No. Bell407/73/2009"
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,99,Form No: Bell407/75,Annual Inspection Cabin Heater,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,732866d9-221e-4edd-976b-a5c3fe783078,,100,,"Annual Inspection Windows, Litter & Fixed Panel",CH*,,,0:00,
