tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,is_rii,show_in_c_of_a,estimated_man_hours,revision_status
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,25,,Emergency locator transmitter,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,53,,Tail boom/Fenestron fin junction frange,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,101,,Directional Gyro,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,99,,Fuel filter element,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,Torsion tie bar,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,101,,Airspeed and Rate of Climb Indicator,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,Outer bearing block,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,99,,Brushes of Forward & aft evaporator motors,CH*,,,0:00,IFS Air conditioning system
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,Sliding bush,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,101,,Fuel MBT,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,Splined flange,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,53,,Intermediate structure/Tail boom coupling,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,101,,ELT Annual Inspection,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,62,,Swashplate guide,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,99,,"RH flap door latch pin,arm and switches",CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,26,,Engine fire detector,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,99,,Engine Inlet Air Filter System,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,99,,100hours/12months Interior Modification Inspection,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,5,,Every 24 months Transponder and ELT Inspection,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,99,,By Pass Indicator Check,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,101,,Every 24 months Transponder Inspection,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,Torsion tie bar-to-blade attach bolt,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,76,,Pilots twist grip,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,101,,Every 24 months Static system and altimeter(s) Inspection,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,99,,RH Flap Dooer &Window,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,99,,RH Flap door labels,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,62,,Swashplate Balljoint,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,24,,Torsion tie bar-to-rotor hub attach bolt,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,Control plate assy,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,Thrust screw,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,Inner bearing block,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,torsion tie bar,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,63,,Hydraulic pump splines belt drive,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,63,,Bi-directional cross bar,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,101,,First Aid Kit,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,101,,Every 6 month Emergency Locator Transmitter test,CH*,,,0:00,Frequency Modified as per Approved AMP Issue 01 Rev 2 & DT: Aug 2025
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,25,,ELT battery pack,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,Antibulging Sector,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,101,,DR Compass swinging,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,99,,100HOURS/12MONTHS Airframe Fuel Filter Inspection,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,99,,Flap door airframe seal,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,62,,"Vibration damper,spring type",CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,Tail rotor hub assy,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,001a5923-4940-4e2a-a4f4-faa2f914a2c8,,64,,Thrust bearing,CH*,,,0:00,
