tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,is_rii,show_in_c_of_a,estimated_man_hours,revision_status
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,"CAR Section-2,Series-I,Part-V",FDR Annual Inspection,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,DCPL Technical Circular 8 of 2009,Fuel MBT,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,,Aircraft Insurance,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,AAC 3 of 2019,FDR Readout PN: 980-4700-027 SN: SSFDR-08764,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,"CAR Series-2,Series-X,Part-III",First Aid Kit Certification,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,,CVR Readout PN: 1630-02-12 SN: 766,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,AAC 12 of 2017 Para 4.2,ELT-Annual Inspection,CH*,,,0:00,Part of ELT Annual Inspection Schedule.
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,"CAR Section-2,Series-I,Part-V",Sensor calibration of FDR,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,"CAR Section 5,Series F,Part 1",FDR download for Exceedance monitoring.,CH*,,,0:00,"Addition in flypal for monitoring,every 3 months."
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,Operation Circular No 8 of 2014,Navigation Database updates,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,CAR M,Airworthiness Review Certificate,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,51,SI-510003,Flight compartment skin and window structure above windshields.,CH*,,,0:00,STC*-Structural Inspection Recurring
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,"CAR Series 5,Series-F Part-I,App.D",Every 3 Months CVR Readout,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,"CAR Section 2,Series R Part II",Aeromobile Licence,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,"Car Section-2,Series-X,Part-II",Weighing of Aircraft,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,101,"CAR Section-2,Series-I,Part-VI",CVR Annual Inspection PN: 1630-02-12 SN: 766,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,12,,Lubrication Inspection -Area M1/M2,LS1,,,0:00,This task can be done during the removal of of an Engine or a powerplant. Ref: AFMS Chapter 07-001-001
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,27,,Thrust Control Teleflex Cable and Disconnect Coupling (LH),LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,27,,Thrust Control Teleflex Cable and Disconnect Coupling (RH),LS*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,838697ff-b6ab-46e4-9aad-def266b918bc,,55,SI-550012,Every 24 Yr then Every 8 YR Horizontal stabilizer Inspection,OP1,,,0:00,STC1-Structural Inspection One Time NOTE: For convenience and improved access it is recommended that this inspection is done when the horizontal stabilizer is removed for the inspection of the attachment lugs (Task No. 550011).
