tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,is_rii,show_in_c_of_a,estimated_man_hours,revision_status
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,5,,Corrossion Inspection 6 Monthly Inspection,CP*,,,0:00,A/C-EXTERNAL
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,5,,Corrossion Inspection 12 Monthly Inspection,CP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,5,,Chip Detector Continuity Check OOP Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,73,,P3 Air filter,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,28,,Fuel Low Level Warning System,OP*,,,0:00,Operational test
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,5,,Chip detector Continuity Check OOP Inspection,OP*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,57,,Landing Gear Compartments OOP Inspection,OP*,,,0:00,"Examine, especially main and rear spar parts."
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,27,,"Flap Actuators (black anodised)(Part No. 978.73.20.307, 308 and 309)OOP Inspection",OP*,,,0:00,Backlash check
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,34,,Attitude Heading Reference System (AHRS) OOP Inspectiopn,OP*,,,0:00,Check swing
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,21,,Duct Over Temperature Switch OOP Inspection,OP*,,,0:00,Remove and Test
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,53,,Rear Pressure Bulkhead OOP Inspection,OP*,,,0:00,Examine with trim removed.
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,76,,Propeller Feathering Microswitches OOP Inspcetion,OP*,,,0:00,Functional Test
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,55,,Vertical Stabilizer Internal Surfaces OOP Inspection,OP*,,,0:00,Examine as far as possible with panels removed.
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,34,,Static System OOP inspection (single or dual ),OP*,,,0:00,Leak check single system
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,34,,Stand by magnetic compass OOP Inspection,OP*,,,0:00,Check swing
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,5,,"Servo Mount (Pitch,Roll,YAW)",OP*,,,0:00,Remove For Clutch Check
157b8d12-c115-446e-a4dc-d12077751fe2,0e0e59a5-d852-4b55-a76e-d3947f4fc7cb,,24,,"Generator 2 (Part No. 524.32.12.158 Mod.A,Mod C and Above) brushes OOP Inspection",OP*,,,0:00,Examine for wear
