tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,is_rii,show_in_c_of_a,estimated_man_hours,revision_status
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,65,"EMM,CH 65-21-00",Carry out 5 to 15 hours Re-torque check after Installation of tail rotor blades,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,65,"AMM 5-50-00, 65-21-00",Carry out 5 to 15 hours Re-torque check after installation of Tail Rotor Blades.,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,66,"AMM 05-50-00, 66-20-00",Carry out 5 to 15 hours Re-torque check after installation of an Intermediate Gear Box.,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,65,"AMM 5-50-00, 65-11-00",Carry out 5 to 15 hours Re-torque check after installation of Main Rotor Blade,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,71,"AMM 5-50-00, 71-02-00",Carry out 5 to 15 hours Re-torque check after installation of Engine Drive shaft.,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,55,"EMM,CH 55-10-00",Carry out 5 to 15 hours Re-torque check after Installation of Stabilizer support fitting,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,65,"AMM 5-50-00,65-12-06",Carry out 5 to 15 hours Re-torque check after installation of Main Rotor Pitch Control Rod,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,65,"AMM 5-50-00,65-11-00",Carry out 5 to 15 hours Re-torque check after installation of Main Rotor Blade,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,65,"AMM 5-50-00, 65-11-00",Carry out 5 to 15 hours Re-torque check after installation of Main Rotor Blade.,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,24,AMM 24-22-01,Carry out 5 to 15 hours Re-torque check after Installation of AC Generator.,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,66,"AMM 05-50-00, 66-40-00",Carry out 5 to 15 hours Re-torque check after installation of Tail Drive Shaft.,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,65,"AMM 5-50-00, 65-12-06",Carry out 5 to 15 hours Re-torque check after installation of Main Rotor Pitch Control Rod,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,55,"AMM 5-50-00,55-10-00",Carry out 5 to 15 hours Re-torque check after installation of Stabilizer Support Fitting,CH1,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,101,,Aeromobile Licence,CH*,,,0:00,
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,5,,Every 12 months corrosion inspection,CP*,,,0:00,we are following Severe Conditions
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,5,,Every 06 months corrosion inspection,CP*,,,0:00,As per Schedule Form No: S76C++/88 (Severe conditions)
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,5,,Every 24 months corrosion inspection,CP*,,,0:00,Mild/Moderate conditions
157b8d12-c115-446e-a4dc-d12077751fe2,b9b6e5b8-7080-440f-9510-e1a67e3b855b,,5,,Every 12 months corrosion inspection,CP*,,,0:00,
