tenant_id,franchise_id,assembly_models_name,assembly_models,aircraft_template_name,aircraft_template_id,registration,serial_number,directive_no,reference_amp,category_code,ata_code,code_form_no_and_description,last_done_on,work_order_number,notes,frequency,effective_from,current,elapsed,extension,due_at,due_at_airframe,remaining,is_applicable,directive_id,is_row_processed_success,failure_reason,processed_on
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,SB 71-009 REV 02,,SB*,71,"SB 71-009 REV 02
Power plant- Engine mounting frame ultrasonic inspection of swaged tube ends.",30-Jul-2025,,Applicable and will be complied as per the AD.,"600:00 H
12 Mt","9883:58 H
30-Jul-2025","9903:25 H
07-May-2026","19:27 H
281 Dy",,"10483:58 H
30-Jul-2026","10483:58 H
30-Jul-2026","580:33 H
84 Dy",,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,EASA AD 2008-0047,,AD,27,"EASA AD 2008-0047
Flight Controls - Elevator Control Stick-Pusher Servo-Cable Tension & Cable Clamp Bolts - Check / Replacement",12-Dec-2007,,Applicable and complied on aircraft model . complied SB 27-018 on 12-12-2007.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,EASA AD 2007-0235,,AD,71,"EASA AD 2007-0235
Powerplant - Torque Oil Pressure Pipe & Hose Assemblies - Inspection/Replacement",05-Oct-2007,,APPLICABLE AND FOUND COMPLIED ON 05.10.2007.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/23,FAA AD 2002-14-22,MOD,32,"DGCA/PILATUS PC 12/23
TO DETECT AND REPLACE DEFECTIVE MAIN LANDING GEAR ASSY. BOLTS",,,APPLICABLE AND FOUND COMPLIED DURING PRODUCTION,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/ PILATUS PC-12/66,EASA AD 2022-0245,MOD#,32,"DGCA/ PILATUS PC-12/66
LANDING GEAR - NOSE AND MAIN LANDING GEAR ACTUATORS - REPLACEMENT",,,Not applicable as per aircraft model. Applicable for PC-12/47E Aeroplanes,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA / NEW MISCELLANEOUS / 271,EASA AD 2025-0297,MIS#,35,"DGCA / NEW MISCELLANEOUS / 271
ATA 35 - Oxygen - Portable Breathing Equipment - Removal From Service",,,Not Applicable as item is not installed in aircraft.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,EASA AD 2015-0060,,AD#,27,"EASA AD 2015-0060
Flight Controls - Aileron Control System / Tab Counter Balance Weight - Replacement",,,Not applicable by aircraft model . Aircraft model is PC-12/45.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/6,FAA AD 98-11-01R2,MOD,28,"DGCA/PILATUS PC 12/6
MODIFICATION OF FUEL TANK INWARD VENT VALVES",,,N/A AS PER A/C S/N. APPLICABLE FOR MSN 101 THRU 230,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,EASA AD 2010-0062R1,,AD#,26,"EASA AD 2010-0062R1
Fire Protection - Halon 1211 Fire Extinguishers - Identification / Replacement",,,Not applicable as per s/n of Fire extinguisher installed. Installed S/N is P3APP003010D.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,FAA AD 2009-05-07,,AD,27,"FAA AD 2009-05-07
Air Transport Association of America (ATA) Code 27: Flight Controls.",,,Applicable and com,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/8,FAA AD 98-20-28,MOD,30,"DGCA/PILATUS PC 12/8
AIRCRAFT SEVERE ICING",,,APPLICABLE AND FOUND COMPLIED DURING PRODUCTION,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/ PILATUS PC 12/56,FAA AD 2016-12-01,MOD#,57,"DGCA/ PILATUS PC 12/56
Air Transport Association of America (ATA) Code 57: Wings",,,WINGS - WING-TO-FUSELAGE ATTACHMENTS CORRECT INSTALLATION OF TORLON PLATES INSPECTION CARRIED OUT.FOUND CORRECT SEQUENCE OF TORLON PLATE IN LEFT AND RIGHT WING LOWER MAIN SPAR OF FUSELAGE ATTACHMENT. NO FURTHER ACTION REQUIRED.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/42,AD 2008-02-03,MOD#,32,"DGCA/PILATUS PC 12/42
Air Transport Association of America (ATA) Code 32: Landing Gear",,,N/A AS AFFECTED BOLTS NOT INSTALLED. (LB ENTRY ON 06.02.2008),,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,EASA AD 2009- 0249,,AD#,34,"EASA AD 2009- 0249
Navigation - Air Data, Attitude and Heading Reference System (ADAHRS) - Modification/Replacement",,,Not applicable as per aircraft model and serial number of the aircraft.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/45R1,EASA AD No.: 2023-0184,MOD,5,"DGCA/PILATUS PC 12/45R1
TIME LIMITS/MAINTENANCE CHECKS- AIRWORTHINESS LIMITATIONS AMENDEMENT",,,AIRWORTHINESS LIMITATION AMENDED,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/7,FAA AD 98-11-20,MOD,1,"DGCA/PILATUS PC 12/7
CREW SEATS",,,N/A AS PER A/C S/N. APPLICABLE FOR MSN 101 THRU 180,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/1,FAA AD 2001 - 22 - 15,MOD,50,"DGCA/PILATUS PC 12/1
Cargo Doors",,,"N/A AS PER A/C S/N AND INSTALLED CARGO DOOR P/N. APPLICABLE TO 552.30.12.051 & 552.30.12.052, INSTALLED CARGO DOOR P/N 552.05.12.010",,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA / NEW MISCELLANEOUS / 268,"DGCA letter reference no.: DGCA-21011/2/2022-AW, dated 19/11/2025",MIS,34,"DGCA / NEW MISCELLANEOUS / 268
5G C-Band (3300 - 3600 MHz) - Fitment of modified Radio Altimeters on aircraft - reg",,,Applicable and will be complied on or before 31st Dec 2027.,,,9903:25 H,,,,9903:25 H,,,,,,
