tenant_id,franchise_id,assembly_models_name,assembly_models,aircraft_template_name,aircraft_template_id,registration,serial_number,directive_no,reference_amp,category_code,ata_code,code_form_no_and_description,last_done_on,work_order_number,notes,frequency,effective_from,current,elapsed,extension,due_at,due_at_airframe,remaining,is_applicable,directive_id,is_row_processed_success,failure_reason,processed_on
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,FAA AD 74-08-09 R3,,AD*,25,"FAA AD 74-08-09 R3
Air Transport Association (ATA) of America Code 25: Equipment/furnishings",20-Apr-2022,,Applicable and found complied on 20-04-2022 at 4987:35 H. Ref A/F Logbook Vol 12 Pg. No.109,1000:00 H,4987:35 H,5667:16 H,679:41 H,,5987:35 H,5987:35 H,320:19 H,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA/NEW -MISC/218,FAA AD 2018-07-03,MIS,25,"DGCA/NEW -MISC/218
Joint Aircraft System Component (JASC) Code 2500, Cabin Equipment/Furnishings.",,,Not applicable as cabin attendant seats are not installed in this aircraft.,,,5667:16 H,,,,5667:16 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA/NEW -MISC/250,FAA AD 2022-03-15,MIS,28,"DGCA/NEW -MISC/250
Joint Aircraft System Component (JASC) Code 2841, Fuel Quantity Indicator.",,,Not Applicable by Model of Aircraft Listed in table 1 of Reference AD,,,5667:16 H,,,,5667:16 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA/NEW -MISC/211 R 1,FAA AD 2018-23-12,MIS,25,"DGCA/NEW -MISC/211 R 1
Air Transport Association (ATA) of America Code 25, Equipment/furnishings.",,,Not applicable by the aircraft model Hwaker 850 Xp.,,,5667:16 H,,,,5667:16 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA/New Misc/134,EASA AD 2011-0103,MIS,25,"DGCA/New Misc/134
Equipment / Furnishings - Emergency Locator Transmitter (ELT) Antenna - Modification / Replacement",,,Not applicable as Blade antenna is installed on the aircraft.,,,5667:16 H,,,,5667:16 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA/NEW -MISC/225,,MIS,34,"DGCA/NEW -MISC/225
Joint Aircraft System Component (JASC) Code 3452, ATC transponder system.",,,Not applicable as Honeywell manufactured RCZ-833 Transponder is installed in aircraft.,,,5667:16 H,,,,5667:16 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA/New Misc/175,FAA AD 2015-15-14,MIS,26,"DGCA/New Misc/175
Fire Protection, To detect and correct solder deposited on the frangible plug of the fire extinguisher, which could result in failure of the fire extinguisher to discharge, and consequent inability to put out a fire in an engine or in the APU",,,Not applicable as Fire Fighting enterprises manufactured fire extinguisher is installed in this aircraft.,,,5667:16 H,,,,5667:16 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA / HAWKER 800/ 02,FAA AD 2000-22-03,MOD,34,"DGCA / HAWKER 800/ 02
PITOT/STATIC AND STALL VENT DRAIN VALVES",,,NOT APPLICABLE BY AIRCRAFT MODEL HAWKER 850XP,,,5667:16 H,,,,5667:16 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA/NEW -MISC/220,FAA AD 2017-22-14,MIS,34,"DGCA/NEW -MISC/220
Joint Aircraft System Component (JASC)/Air Transport Association (ATA) of America Code 34, Navigation.",,,Not applicable as Honeywell manufactured TCAS (RT-951) is installed in aircraft.,,,5667:16 H,,,,5667:16 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA/New Misc/132 R1,EASA AD 2011-0090R1,MIS,35,"DGCA/New Misc/132 R1
Oxygen - Oxygen Mask Regulator Inflatable Harness - Identification / Replacement",,,Found complied with on installed Crew Oxyegn Mask P/n. MF10-03-02 and S/N. 39073 (Pilot) & SE57480 (Co-pilot). (Refer FAA 8130-3. # 297153 & 292379 Respectively),,,5667:16 H,,,,5667:16 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA/New Misc/161,FAA AD 2014-05-27,MIS*,34,"DGCA/New Misc/161
To correct possible misalignment issues with transponders that could result in increased pilot and air traffic controller workload as well reduced separation of Airplanes",,,"Not applicable as Honeywell manufactured RCZ 833K Mode ""S"" is installed in this aircraft.",2 Yr,16-Mar-2007,10-May-2026,6995 Dy,,16-Mar-2009,16-Mar-2009,-6264 Dy,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA/NewMisc/183,EASA AD No. 2016-0210,MIS*,25,"DGCA/NewMisc/183
Equipment / Furnishings - Seat Energy Absorber Assembly - Replacement",,,Not applicable as IPECO manufactured crew seats are installed in this aircraft.,45 Dy,16-Mar-2007,10-May-2026,6995 Dy,,30-Apr-2007,30-Apr-2007,-6950 Dy,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,HAWKER 850XP,ef002da4-261e-411e-8142-679a1828aff8,Tmplt HAWKER 850XP,53134224-77b0-4f81-be4b-e02f4c59eae8,VT-AGP,258835,DGCA/New Misc/97,FAA AS 2007-04-15,MIS,25,"DGCA/New Misc/97
To prevent detachment of passenger seats assemblies during emergency conditions",,,Not applicable as Decrane Aircraft Seating Company passenger seats are installed.,,,5667:16 H,,,,5667:16 H,,,,,,
