Aircraft,Assembly,Serial No,Log Page,Routing From,Routing To,Departure_ICAO,Arrival_ICAO,DepartureTime,TakeOffTime,TouchDownTime,ArrivalTime,Departure UTC,Take Off UTC,Touch Down UTC,Arrival UTC,Flight Time,CON. FLT. TIMES,BlockTime,CON. BLOCK TIMES,TOTAL A/C TIME,TOTAL CYCLES,CYLCES FLOWN,Flight Log Classification
VT-VPA,HAWKER 800XP,258415,01026,135,VOBG,Not A,Not A,04-May-2019 10:55,04-May-2019 11:00,04-May-2019 12:10,04-May-2019 12:15,04-May-2019 05:25,04-May-2019 05:30,04-May-2019 06:40,04-May-2019 06:45,1:10,1.2,1:20,1.3,4744:03,3303,1,
VT-VPA,HAWKER 800XP,258415,01027,VOBG,DELHI,Not A,,04-May-2019 16:40,04-May-2019 16:55,04-May-2019 19:25,04-May-2019 19:40,04-May-2019 11:10,04-May-2019 11:25,04-May-2019 13:55,04-May-2019 14:10,2:30,2.5,3:00,3.0,4746:33,3304,1,
VT-VPA,HAWKER 800XP,258415,0001,DELHI,DELHI,,,06-Nov-2020 22:00,06-Nov-2020 22:05,06-Nov-2020 22:05,06-Nov-2020 22:10,06-Nov-2020 16:30,06-Nov-2020 16:35,06-Nov-2020 16:35,06-Nov-2020 16:40,0:00,0.0,0:10,0.2,4746:33,3304,0,
VT-VPA,HAWKER 800XP,258415,0002,DELHI,DELHI,,,20-Nov-2020 21:30,20-Nov-2020 21:35,20-Nov-2020 21:35,20-Nov-2020 21:40,20-Nov-2020 16:00,20-Nov-2020 16:05,20-Nov-2020 16:05,20-Nov-2020 16:10,0:00,0.0,0:10,0.2,4746:33,3304,0,
VT-VPA,HAWKER 800XP,258415,0003,DELHI,DELHI,,,28-Nov-2020 14:30,28-Nov-2020 14:35,28-Nov-2020 14:35,28-Nov-2020 14:40,28-Nov-2020 09:00,28-Nov-2020 09:05,28-Nov-2020 09:05,28-Nov-2020 09:10,0:00,0.0,0:10,0.2,4746:33,3304,0,
VT-VPA,HAWKER 800XP,258415,0004,DELHI,DELHI,,,28-Nov-2020 15:05,28-Nov-2020 15:18,28-Nov-2020 17:17,28-Nov-2020 17:30,28-Nov-2020 09:35,28-Nov-2020 09:48,28-Nov-2020 11:47,28-Nov-2020 12:00,1:59,2.0,2:25,2.4,4748:32,3305,1,
VT-VPA,HAWKER 800XP,258415,0005,DELHI,DELHI,,,11-Dec-2020 16:30,11-Dec-2020 16:35,11-Dec-2020 16:35,11-Dec-2020 16:40,11-Dec-2020 11:00,11-Dec-2020 11:05,11-Dec-2020 11:05,11-Dec-2020 11:10,0:00,0.0,0:10,0.2,4748:32,3305,0,
VT-VPA,HAWKER 800XP,258415,0006,DELHI,DELHI,,,25-Dec-2020 17:30,25-Dec-2020 17:35,25-Dec-2020 17:35,25-Dec-2020 17:40,25-Dec-2020 12:00,25-Dec-2020 12:05,25-Dec-2020 12:05,25-Dec-2020 12:10,0:00,0.0,0:10,0.2,4748:32,3305,0,
VT-VPA,HAWKER 800XP,258415,0007,DELHI,DELHI,,,02-Jan-2021 21:30,02-Jan-2021 21:35,02-Jan-2021 21:35,02-Jan-2021 21:40,02-Jan-2021 16:00,02-Jan-2021 16:05,02-Jan-2021 16:05,02-Jan-2021 16:10,0:00,0.0,0:10,0.2,4748:32,3305,0,
VT-VPA,HAWKER 800XP,258415,0008,DELHI,VOBG,,Not A,03-Jan-2021 09:40,03-Jan-2021 09:49,03-Jan-2021 12:37,03-Jan-2021 12:45,03-Jan-2021 04:10,03-Jan-2021 04:19,03-Jan-2021 07:07,03-Jan-2021 07:15,2:48,2.8,3:05,3.1,4751:20,3306,1,
