ContactID,CustomerCode,CompanyName,QBCustomerName,qbid,ContactCategoryID,TelNo,Address,MobNo,Fax,WebSite,ContactPerson,ContactPersonFirstName,ContactPersonLastName,Designation,ContinentI,StateName,CityName,CountryName,Email,ZipCode,Remarks,ITNNumber,IDNumber,IDNumberType,IRSNumber,FilingDate,SCAC,IATA,createdfrom,Attachment,IsSepatraCustomer,isSepatraPartner,SepatraCustomer,SepatraCustomerId,isconsolidatedreport,CompanyGradation,AccountNo,AccountDetail,TaxID,sourceofcontact,Representative,sitename,BillTo,BillToCompanyName,BillToAddress,CommodityList,SiteId,EnquiryUrl,ContCreatedOn,ContModifiedOn,CreatedByName,UpdatedByName,IsActive,IsDeleted,Flag,isapproved
17061,MGL11730,"#1HeavyEquipment Loading, Inc.",NULL,NULL,"TRUCKER,DISMANTLER",773-|965-|1111,Bedford Park,||,||,1HeavyEquipmentLoading.com,NULL,Linas,Kevlicius,,North America,Illinois,Bedford Park,USA,quotes@1heavyequipmentloading.com,60638,"27-06-2023	Hamid known for years: qted constr equi   Our company mission is to help out of country buyers to Export from different Auctions and Dealers-Equipmet they purchased. We have best rates for Dismantling and Loading any kind of Equipment to FlatRacks and Containers",NULL,NULL,NULL,NULL,NULL,,,crm,NULL,No,No,,0,0,NULL,NULL,NULL,NULL,,NaN,NULL,NULL,NULL,NULL, PERSONAL E,NULL,,2023-07-25 17:38:06.057,2026-01-02 16:50:17.183,NULL,Ashar AR,1,0,1,1
17575,MGL12400,"123 Security Products, Inc.",NULL,NULL,PROSPECTIVE AIR FREIGHT CUSTOMER,||(866) 440-2288,"731 Union Parkway
Ronkonkoma, NY",||,||,NULL,NULL,,,,North America,New York,Ronkonkoma,USA,NULL,11779,"1/22/24 Spoke with Chris. She will pass msg to her mngr re our svss. spare part
INQUIRY FROM JCtrans",NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,No,No,,0,0,NULL,NULL,NULL,NULL,,238,Sales & Marketing,NULL,NULL,NULL," Paper, Pap, Plastic Ba",NULL,,2023-11-27 20:38:30.490,2025-09-03 09:06:01.157,Ashar AR,Ashar AR,1,0,1,0
18105,MGL13117,15 Knots Shipping & Logistics Pvt Ltd,NULL,NULL,"PROSPECTIVE SEA EXPORT CUSTOMER,CUSTOMER",||,"Citi Tower, A Wing, 409,4Th Floor, Sector 15, CBD-Belapur,, Navi Mumbai, Maharashtra, India, 400614",||9821192672,||,NULL,NULL,,,,Asia,Maharashtra,NULL,India,info@15knots.in,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,crm,NULL,No,No,,0,0,NULL,NULL,NULL,NULL,,NULL,Sales & Marketing,NULL,NULL,NULL,NULL,NULL,,2024-05-03 14:08:10.570,2025-09-15 10:11:54.810,Ash Kumar,Ashar AR,1,0,1,0
15453,MGL9834,1A INTERMODAL,NULL,NULL,TRUCKER,||786 350-3469,"9737 NW 41ST ST
 Box #1021, Doral",||,||,NULL,NULL,,,,North America,Florida,NULL,USA,collections1@ship1a.com,33178-2924,Where does this  get  displayed ?,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,No,No,,0,0,NULL,NULL,NULL,NULL,,236,NULL,NULL,NULL,NULL, 10 WOODEN ,NULL,,2022-03-30 15:58:40.000,2026-01-02 06:32:26.390,NULL,Vimal Bahuguna,1,0,1,1
7503,MGL1815,1ST STOP COPY CARRIERS,NULL,NULL,"WAREHOUSE,SEA FREIGHT SHIPPER,CUSTOMER",1|408|768-4419,"16930 S MAIN ST, GARDENA, CA 90248. 2ND STOP : BST 605, WEST VICTORIA STREET, RANCHO DOMINGUEZ, CA 90220",||,||,NULL,Gautam Mehta,Gautam Mehta,,NULL,North America,California,Gardena,USA,NULL,90220,Existing customer Gautam Mehta said know HH  9/25,NULL,NULL,NULL,NULL,NULL,,,crm,NULL,No,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,2018-12-01 19:26:05.220,2024-04-23 12:48:00.143,NULL,Anjum Hussani,1,0,1,1
7504,MGL1816,2 star brothers111111,NULL,NULL,UNKNOWN,||,NULL,||,||,NULL,NULL,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,No,No,,0,0,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL, Machine Pa,NULL,,2018-12-01 19:26:05.220,2025-01-28 10:37:47.343,NULL,Ashar AR,1,0,1,1
7505,MGL1817,2 STARS BROTHERS EQUIPMENT,2 STARS BROTHERS EQUIPMENT,138,SEA FREIGHT SHIPPER,||718-825-6088,153-49 77TH ROAD SUITE 2,||,||,NULL,Ashraf Tolba,Ashraf Tolba,,,North America,New York,Flushing,USA,tolba611@yahoo.com,NULL,Contact_Category : Customer Region_Continent :   C,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,No,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,,NULL,BHOPAL (BHO),NULL,NULL,NULL," P & h CN12, Paint ( Li, Paper, Toyota Avl, Machine Pa",NULL,,2018-12-01 19:26:05.220,2024-07-29 13:54:48.187,NULL,Hamid Hussaini,1,0,1,0
6489,MGL745,2 Stars Brothers Equipment 22222,NULL,NULL,"SEA FREIGHT SHIPPER,CUSTOMER",||718-825-6088,"FLUSHING, NEW YORK",||718-825-6088,||,NULL,NULL,,,,North America,New York,NULL,USA,tolba611@yahoo.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,No,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,,NULL,BHOPAL (BHO),NULL,NULL,NULL,NULL,NULL,,2018-06-19 16:55:25.963,2024-07-29 13:44:08.363,NULL,Hamid Hussaini,1,0,1,0
13546,MGL7981,2 STARS BROTHERS EQUIPMENT111111,2 STARS BROTHERS EQUIPMENT,138,"SEA FREIGHT SHIPPER,CUSTOMER",||718-825-6088,153-49 77TH ROAD SUITE 2,||,||,NULL,NULL,,,NULL,North America,New York,Flushing,USA,tolba611@yahoo.com,11367,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,No,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,BHOPAL (BHO),NULL,NULL,NULL," P & h CN12, Paint ( Li, Paper, Toyota Avl, Machine Pa",NULL,,2020-09-25 13:43:44.487,2023-10-04 21:10:59.297,Hamid Hussaini,Hamid Hussaini,1,0,1,NULL
13000,MGL7338,2 STARS BROTHERS EQUIPMENT222222,NULL,NULL,"CUSTOMER,SEA IMPORT CUSTOMER",||718-825-6088,153-49 77TH ROAD SUITE 2,||,||,NULL,NULL,NULL,NULL,NULL,North America,New Jersey,Fair Haven,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,No,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," P & h CN12, Paint ( Li, Paper, Toyota Avl, Machine Pa",NULL,NULL,2019-02-07 07:01:11.750,2023-04-25 15:23:51.297,Ashar AR,Ketan Christian,1,0,1,NULL
14324,MGL8761,2 WIRE DISTRIBUTION,NULL,NULL,"SEA FREIGHT SHIPPER,CUSTOMER",||704-839-6711,9535 MONROE RD. SUITE 130,||,||,NULL,JIMMY,JIMMY,NULL,NULL,North America,North Carolina,Charlotte,USA,NULL,28270,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2021-03-15 10:58:32.303,2022-11-17 11:47:48.137,Arjun Bairagi,Hamid Hussaini,1,0,1,NULL
