,LogType,aircraft_id,flight_date,log_selection_no,log_page_no,flight_number,time_out,departure_airport,time_in,arrival_airport,flight_hours,Cycles / Landings,total_airframe_hours_at_landing,total_cycles_at_landing
,Journey,VT-ACG,16-Mar-26,VT-ACG/30,32, ,3/16/26 13:35,VIJP,3/16/26 14:25,VIJP,0:30,1,9892:01 H,5727 L
,Journey,VT-ACG,16-Mar-26,VT-ACG/29,32, ,3/16/26 12:15,VIJP,3/16/26 13:25,VIJP,0:30,1,9891:31 H,5726 L
,Journey,VT-ACG,16-Mar-26,VT-ACG/28,31, ,3/16/26 11:05,VIKG,3/16/26 11:45,VIJP,0:30,1,9891:01 H,5725 L
,Journey,VT-ACG,16-Mar-26,VT-ACG/27,31, ,3/16/26 10:05,VIJP,3/16/26 10:55,VIKG,0:18,1,9890:31 H,5724 L
,Journey,VT-ACG,15-Mar-26,VT-ACG/26,30, ,3/15/26 7:45,VIJP,3/15/26 8:45,VIJP,0:45,3,9890:13 H,5723 L
,Journey,VT-ACG,15-Mar-26,VT-ACG/25,30, ,3/15/26 6:00,VIJP,3/15/26 7:15,VIJP,1:00,3,9889:28 H,5720 L
,Journey,VT-ACG,11-Mar-26,VT-ACG/24,29, ,3/11/26 8:50,VIKG,3/11/26 9:50,VIJP,0:52,1,9888:28 H,5717 L
,Journey,VT-ACG,11-Mar-26,VT-ACG/23,29, ,3/11/26 8:00,VIJP,3/11/26 8:40,VIKG,0:26,1,9887:36 H,5716 L
,Journey,VT-ACG,10-Mar-26,VT-ACG/22,28, ,3/10/26 14:50,VIJP,3/10/26 16:00,VIJP,1:00,3,9887:10 H,5715 L
,Journey,VT-ACG,10-Mar-26,VT-ACG/21,28, ,3/10/26 13:25,VIDP,3/10/26 14:40,VIJP,1:00,3,9886:10 H,5712 L
,Journey,VT-ACG,10-Mar-26,VT-ACG/20,27, ,3/10/26 0:00,VIDP,3/10/26 0:00,VIDP,0:00,0,9885:10 H,5709 L
,Journey,VT-ACG,8-Mar-26,VT-ACG/19,26, ,3/8/26 11:10,VIDP,3/8/26 11:30,VIDP,0:00,0,9885:10 H,5709 L
,Journey,VT-ACG,3-Mar-26,VT-ACG/18,25, ,3/3/26 8:40,VIDP,3/3/26 9:00,VIDP,0:00,0,9885:10 H,5709 L
,Journey,VT-ACG,24-Feb-26,VT-ACG/17,24, ,2/24/26 9:10,VIDP,2/24/26 9:40,VIDP,0:00,0,9885:10 H,5709 L
,Journey,VT-ACG,19-Feb-26,VT-ACG/16,23, ,2/19/26 10:30,VIDP,2/19/26 11:00,VIDP,0:00,0,9885:10 H,5709 L
,Journey,VT-ACG,12-Feb-26,VT-ACG/15,22, ,2/12/26 7:30,VIDP,2/12/26 8:00,VIDP,0:00,0,9885:10 H,5709 L
,Journey,VT-ACG,5-Feb-26,VT-ACG/14,21, ,2/5/26 12:00,VIDP,2/5/26 12:30,VIDP,0:00,0,9885:10 H,5709 L
,Journey,VT-ACG,5-Feb-26,VT-ACG/13,20, ,2/5/26 10:00,VIDP,2/5/26 11:35,VIDP,1:12,1,9885:10 H,5709 L
,Journey,VT-ACG,1-Feb-26,VT-ACG/12,19, ,2/1/26 10:00,VIDP,2/1/26 10:30,VIDP,0:00,0,9883:58 H,5708 L
,Journey,VT-ACG,VOID,VT-ACG/11,18, ,VOID,VOID,VOID,VOID,VOID,0,9883:58 H,5708 L
,Journey,VT-ACG,25-Jan-26,VT-ACG/10,17, ,1/25/26 10:30,VIDP,1/25/26 11:00,VIDP,0:00,0,9883:58 H,5708 L
,Journey,VT-ACG,18-Jan-26,VT-ACG/9,16, ,1/18/26 9:30,VIDP,1/18/26 10:00,VIDP,0:00,0,9883:58 H,5708 L
,Journey,VT-ACG,11-Jan-26,VT-ACG/8,15, ,1/11/26 16:00,VIDP,1/11/26 16:30,VIDP,0:00,0,9883:58 H,5708 L
,Journey,VT-ACG,4-Jan-26,VT-ACG/7,14, ,1/4/26 10:30,VIDP,1/4/26 11:00,VIDP,0:00,0,9883:58 H,5708 L
,Journey,VT-ACG,28-Dec-25,VT-ACG/6,13, ,12/28/25 10:30,VIDP,12/28/25 11:00,VIDP,0:00,0,9883:58 H,5708 L
,Journey,VT-ACG,21-Dec-25,VT-ACG/5,12, ,12/21/25 12:30,VIDP,12/21/25 13:00,VIDP,0:00,0,9883:58 H,5708 L
,Journey,VT-ACG,14-Dec-25,VT-ACG/4,11, ,12/14/25 10:30,VIDP,12/14/25 11:00,VIDP,0:00,0,9883:58 H,5708 L
,Journey,VT-ACG,8-Dec-25,VT-ACG/3,10, ,12/8/25 6:30,VIDP,12/8/25 7:00,VIDP,0:00,0,9883:58 H,5708 L
,Journey,VT-ACG,2-Dec-25,VT-ACG/2,9, ,12/2/25 8:30,VIDP,12/2/25 9:00,VIDP,0:00,0,9883:58 H,5708 L
,Journey,VT-ACG,25-Nov-25,VT-ACG/1,8, ,11/25/25 9:30,VIDP,11/25/25 10:00,VIDP,0:00,0,9883:58 H,5708 L
,Journey,VT-AGP,17-Mar-26,VT-AGP/77,77, ,3/17/26 13:10,VIDP,3/17/26 15:35,VIDP,2:07,1,5607:52 H,4893 L
,Journey,VT-AGP,17-Mar-26,VT-AGP/76,76, ,3/17/26 9:30,VIDP,3/17/26 10:00,VIDP,0:00,0,5605:45 H,4892 L
,Journey,VT-AGP,16-Mar-26,VT-AGP/75,75, ,3/16/26 4:17,VOHY,3/16/26 6:50,VIDP,2:05,1,5605:45 H,4892 L
,Journey,VT-AGP,15-Mar-26,VT-AGP/74,74, ,3/15/26 7:36,vohs,3/15/26 7:58,VOHY,0:10,1,5603:40 H,4891 L
,Journey,VT-AGP,15-Mar-26,VT-AGP/73,73, ,3/15/26 4:22,VAAH,3/15/26 6:24,vohs,1:38,1,5603:30 H,4890 L
